Date,AAPL,FB
2015-01-02,109.33000200000001,78.449997
2015-01-05,106.25,77.190002
2015-01-06,106.260002,76.150002
2015-01-07,107.75,76.150002
2015-01-08,111.889999,78.18
2015-01-09,112.010002,77.739998
2015-01-12,109.25,76.720001
2015-01-13,110.220001,76.449997
2015-01-14,109.800003,76.279999
2015-01-15,106.82,74.050003
2015-01-16,105.989998,75.18
2015-01-20,108.720001,76.239998
2015-01-21,109.550003,76.739998
2015-01-22,112.400002,77.650002
2015-01-23,112.980003,77.83000200000001
2015-01-26,113.099998,77.5
2015-01-27,109.139999,75.779999
2015-01-28,115.309998,76.239998
2015-01-29,118.900002,78.0
2015-01-30,117.160004,75.910004
2015-02-02,118.629997,74.989998
2015-02-03,118.650002,75.400002
2015-02-04,119.559998,75.629997
2015-02-05,119.940002,75.610001
2015-02-06,118.93,74.470001
2015-02-09,119.720001,74.440002
2015-02-10,122.019997,75.190002
2015-02-11,124.879997,76.510002
2015-02-12,126.459999,76.230003
2015-02-13,127.08000200000001,75.739998
2015-02-17,127.83000200000001,75.599998
2015-02-18,128.720001,76.709999
2015-02-19,128.449997,79.41999799999999
2015-02-20,129.5,79.900002
2015-02-23,133.0,78.839996
2015-02-24,132.169998,78.449997
2015-02-25,128.78999299999998,79.559998
2015-02-26,130.419998,80.410004
2015-02-27,128.46000700000002,78.970001
2015-03-02,129.08999599999999,79.75
2015-03-03,129.360001,79.599998
2015-03-04,128.53999299999998,80.900002
2015-03-05,126.410004,81.209999
2015-03-06,126.599998,80.010002
2015-03-09,127.139999,79.440002
2015-03-10,124.510002,77.550003
2015-03-11,122.239998,77.57
2015-03-12,124.449997,78.93
2015-03-13,123.589996,78.050003
2015-03-16,124.949997,78.07
2015-03-17,127.040001,79.360001
2015-03-18,128.470001,80.910004
2015-03-19,127.5,82.75
2015-03-20,125.900002,83.800003
2015-03-23,127.209999,84.43
2015-03-24,126.690002,85.309998
2015-03-25,123.379997,82.91999799999999
2015-03-26,124.239998,83.010002
2015-03-27,123.25,83.300003
2015-03-30,126.370003,83.199997
2015-03-31,124.43,82.220001
2015-04-01,124.25,81.66999799999999
2015-04-02,125.32,81.559998
2015-04-06,127.349998,82.440002
2015-04-07,126.010002,82.32
2015-04-08,125.599998,82.279999
2015-04-09,126.559998,82.16999799999999
2015-04-10,127.099998,82.040001
2015-04-13,126.849998,83.010002
2015-04-14,126.300003,83.519997
2015-04-15,126.779999,82.709999
2015-04-16,126.16999799999999,82.309998
2015-04-17,124.75,80.779999
2015-04-20,127.599998,83.089996
2015-04-21,126.910004,83.620003
2015-04-22,128.619995,84.629997
2015-04-23,129.669998,82.410004
2015-04-24,130.279999,81.529999
2015-04-27,132.649994,81.910004
2015-04-28,130.559998,80.68
2015-04-29,128.639999,80.470001
2015-04-30,125.150002,78.769997
2015-05-01,128.949997,78.989998
2015-05-04,128.699997,78.809998
2015-05-05,125.800003,77.559998
2015-05-06,125.010002,78.099998
2015-05-07,125.260002,78.43
2015-05-08,127.620003,78.510002
2015-05-11,126.32,78.010002
2015-05-12,125.870003,77.459999
2015-05-13,126.010002,78.440002
2015-05-14,128.949997,81.370003
2015-05-15,128.770004,80.41999799999999
2015-05-18,130.190002,80.879997
2015-05-19,130.070007,80.629997
2015-05-20,130.059998,80.550003
2015-05-21,131.389999,80.480003
2015-05-22,132.53999299999998,80.540001
2015-05-26,129.619995,79.33000200000001
2015-05-27,132.03999299999998,80.550003
2015-05-28,131.779999,80.150002
2015-05-29,130.279999,79.190002
2015-06-01,130.53999299999998,80.290001
2015-06-02,129.96000700000002,80.440002
2015-06-03,130.119995,82.440002
2015-06-04,129.360001,82.050003
2015-06-05,128.649994,82.139999
2015-06-08,127.800003,80.66999799999999
2015-06-09,127.41999799999999,80.66999799999999
2015-06-10,128.880005,82.160004
2015-06-11,128.58999599999999,81.83000200000001
2015-06-12,127.16999799999999,81.529999
2015-06-15,126.91999799999999,80.709999
2015-06-16,127.599998,81.059998
2015-06-17,127.300003,81.790001
2015-06-18,127.879997,82.910004
2015-06-19,126.599998,82.510002
2015-06-22,127.610001,84.739998
2015-06-23,127.029999,87.879997
2015-06-24,128.110001,88.860001
2015-06-25,127.5,87.980003
2015-06-26,126.75,88.010002
2015-06-29,124.529999,85.800003
2015-06-30,125.43,85.769997
2015-07-01,126.599998,86.910004
2015-07-02,126.440002,87.290001
2015-07-06,126.0,87.550003
2015-07-07,125.690002,87.220001
2015-07-08,122.57,85.650002
2015-07-09,120.07,85.879997
2015-07-10,123.279999,87.949997
2015-07-13,125.660004,90.099998
2015-07-14,125.610001,89.68
2015-07-15,126.82,89.760002
2015-07-16,128.509995,90.849998
2015-07-17,129.619995,94.970001
2015-07-20,132.070007,97.910004
2015-07-21,130.75,98.389999
2015-07-22,125.220001,97.040001
2015-07-23,125.160004,95.440002
2015-07-24,124.5,96.949997
2015-07-27,122.769997,94.16999799999999
2015-07-28,123.379997,95.290001
2015-07-29,122.989998,96.989998
2015-07-30,122.370003,95.209999
2015-07-31,121.300003,94.010002
2015-08-03,118.440002,94.139999
2015-08-04,114.639999,94.059998
2015-08-05,115.400002,96.440002
2015-08-06,115.129997,95.120003
2015-08-07,115.519997,94.300003
2015-08-10,119.720001,94.150002
2015-08-11,113.489998,93.620003
2015-08-12,115.239998,94.190002
2015-08-13,115.150002,93.43
