,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume
,AXP,FB,INTC,MCD,PG,WMT,AXP,FB,INTC,MCD,PG,WMT,AXP,FB,INTC,MCD,PG,WMT,AXP,FB,INTC,MCD,PG,WMT,AXP,FB,INTC,MCD,PG,WMT,AXP,FB,INTC,MCD,PG,WMT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,40.900002,,20.6,62.970001,61.52,54.25,41.080002,,20.719998999999998,63.07,61.529999,54.369999,40.490002000000004,,20.4,62.389998999999996,60.560001,53.419998,40.52,,20.4,62.439999,60.630001,53.450001,35.271194,,15.252899,47.055138,45.146072,42.548668,4030500,,26429200,4495300,5942200,9764800
2010-01-04,40.810001,,20.790001,62.630001,61.110001000000004,53.740002000000004,41.099998,,21.030001000000002,63.07,61.310001,54.669998,40.389998999999996,,20.73,62.310001,60.630001,53.669998,40.919998,,20.879998999999998,62.779999,61.119999,54.23,35.619372999999996,,15.611791,47.311375,45.510940999999995,43.169579,6894300,,47800900,5839300,9190800,20753100
2010-01-05,40.830002,,20.940001000000002,62.66,61.130001,54.09,41.23,,20.99,62.75,61.279999,54.189999,40.369999,,20.6,62.189999,60.599998,53.57,40.830002,,20.870001000000002,62.299999,61.139998999999996,53.689999,35.541039000000005,,15.604316,46.949627,45.525822,42.739723,10641200,,52357700,7099000,8649400,15648400
2010-01-06,41.23,,20.809998999999998,62.200001,60.939999,53.5,41.669998,,20.93,62.41,60.959998999999996,53.830002,41.169998,,20.67,61.060001,60.5,53.419998,41.490002000000004,,20.799999,61.450001,60.849998,53.57,36.11554,,15.551979000000001,46.309067,45.309883,42.644184,8399400,,40037400,10551300,9908400,12517200
2010-01-07,41.259997999999996,,20.73,61.25,60.580002,53.720001,42.240002000000004,,20.76,62.34,60.700001,53.75,41.110001000000004,,20.34,61.110001000000004,60.240002000000004,53.259997999999996,41.98,,20.6,61.900002,60.52,53.599998,36.701283000000004,,15.402434,46.648193,45.064171,42.668079,8981700,,54041500,7517700,8972800,10662700
2010-01-08,41.759997999999996,,20.540001,62.27,60.360001000000004,53.43,42.48,,20.889999,62.41,60.529999,53.529999,41.400002,,20.4,61.599998,60.060001,53.02,41.950001,,20.83,61.84,60.439999,53.330002,36.675056,,15.574407999999998,46.602982,45.004593,42.453140000000005,7907700,,48234700,6107300,8464600,11363200
2010-01-11,41.740002000000004,,21.110001,62.02,60.080002,53.330002,41.959998999999996,,21.15,62.43,60.27,54.439999,41.25,,20.82,61.849998,59.009997999999996,53.099998,41.470001,,20.950001,62.32,60.200001,54.209998999999996,36.255421000000005,,15.664135,46.964703,44.825874,43.153675,7396000,,51086400,6081300,14774600,13987700
2010-01-12,41.27,,20.870001000000002,62.029999,60.700001,54.0,42.349998,,20.9,62.66,61.360001000000004,54.75,41.25,,20.379998999999998,62.0,60.5,53.860001000000004,42.02,,20.610001,62.66,60.889998999999996,54.73,36.736252,,15.409918,47.22094,45.339667999999996,43.567612,12657300,,69958400,7199400,13460700,15117000
2010-01-13,41.849998,,20.719998999999998,62.860001000000004,61.040001000000004,54.790001000000004,42.240002000000004,,21.08,63.290001000000004,61.790001000000004,55.200001,41.57,,20.440001000000002,62.560001,60.91,54.41,42.150002,,20.959999,62.59,61.52,55.009997999999996,36.849915,,15.671610000000001,47.168178999999995,45.808777,43.790508,10137200,,71446700,8623000,16968100,13290700
2010-01-14,42.040001000000004,,21.110001,62.560001,61.419998,54.73,42.740002000000004,,21.549999,62.73,61.740002000000004,54.84,42.02,,21.049999,62.09,61.380001,54.16,42.68,,21.48,62.650002,61.580002,54.209998999999996,37.313278000000004,,16.060408,47.213402,45.853458,43.153675,8238400,,150821600,7095600,9139500,13772000
2010-01-15,42.52,,21.389999,62.669998,61.599998,54.34,42.84,,21.4,62.98,61.860001000000004,54.549999,42.02,,20.77,62.049999,60.439999,53.599998,42.389998999999996,,20.799999,62.279999,60.82,53.68,37.059727,,15.551979000000001,46.934554999999996,45.287556,42.731777,13629000,,198078600,9429100,15768300,19087500
2010-01-19,42.240002000000004,,20.9,62.900002,60.799999,53.91,43.049999,,21.17,63.82,61.830002,54.259997999999996,42.110001000000004,,20.85,62.77,60.799999,53.5,42.959998999999996,,21.049999,63.48,61.720001,54.029999,37.55806,,15.738903,47.838885999999995,45.957699,43.010376,9533800,,82573500,8551500,11577700,14618500
2010-01-20,42.93,,20.99,63.490002000000004,60.970001,53.919998,43.25,,21.139999,63.599998,61.040001000000004,53.939999,42.259997999999996,,20.85,62.75,60.099998,53.23,42.98,,21.08,63.009997999999996,60.450001,53.860001000000004,37.575546,,15.761332999999999,47.484688,45.335232,42.875057,11643000,,65670100,6996800,11557800,13308600
2010-01-21,42.990002000000004,,21.15,62.970001,60.560001,54.07,43.099998,,21.309998999999998,63.599998,60.93,54.07,41.529999,,20.68,62.799999,59.450001,52.84,42.16,,20.84,63.200001,59.84,52.919998,36.858658,,15.581881,47.627884,44.877762,42.126759,16974300,,73633300,11724100,14298400,16028700
2010-01-22,41.360001000000004,,20.77,63.23,59.75,52.959998999999996,41.490002000000004,,20.790001,64.779999,60.689999,53.470001,38.189999,,19.809998999999998,62.810001,59.220001,52.689999,38.59,,19.91,63.389998999999996,60.310001,52.939999,33.737556,,14.886534,47.771069,45.23024,42.142685,26170800,,116302400,15645900,17703200,19415900
2010-01-25,39.099998,,20.24,63.34,60.830002,53.139998999999996,39.290001000000004,,20.58,63.599998,60.98,53.220001,37.5,,20.139999,62.919998,60.150002,52.779999,37.790001000000004,,20.32,63.09,60.630001,52.880001,33.038151,,15.193087,47.544979,45.47023,42.094916999999995,17587600,,73785600,6382200,11630800,12003300
2010-01-26,37.540001000000004,,20.18,62.75,60.169998,52.82,39.23,,20.379998999999998,64.0,60.950001,53.860001000000004,37.52,,19.950001,62.75,60.0,52.73,38.099998,,20.0,63.810001,60.689999,53.610001000000004,33.309162,,14.953826000000001,48.087578,45.515232,42.676021999999996,15709900,,65298900,9292700,13079000,15584000
2010-01-27,37.959998999999996,,20.0,63.669998,60.459998999999996,53.52,38.84,,20.33,64.0,60.98,53.77,37.830002,,19.82,63.299999,59.950001,53.099998,38.669998,,20.24,63.73,60.810001,53.400002,33.807499,,15.133268,48.027283000000004,45.605221,42.508873,12908300,,74926200,8080800,15228400,13192100
2010-01-28,38.669998,,20.299999,63.849998,61.669998,53.380001,38.669998,,20.389999,63.869999,63.310001,53.450001,36.830002,,19.68,62.75,61.580002,52.509997999999996,37.43,,19.92,62.830002,61.68,52.610001000000004,32.723431,,14.894015,47.349037,46.257690000000004,41.879993,14148600,,76974600,8560100,26930000,16960100
2010-01-29,37.599998,,20.129998999999998,62.82,61.91,53.68,38.77,,20.23,63.220001,62.240002000000004,54.150002,37.360001000000004,,19.299999,62.389998999999996,61.470001,53.400002,37.66,,19.4,62.43,61.549999,53.43,32.924496000000005,,14.505208999999999,47.047596,46.160187,42.532749,14219900,,96053900,7589600,17067100,24280800
2010-02-01,37.84,,19.469998999999998,62.830002,61.849998,53.619999,38.310001,,19.75,63.970001,62.240002000000004,53.779999,37.82,,19.440001000000002,62.830002,61.509997999999996,53.310001,38.209998999999996,,19.610001,63.889998999999996,61.990002000000004,53.48,33.405338,,14.662227,48.14785,46.490189,42.572544,9357100,,50338300,8062700,12908100,11019500
2010-02-02,38.68,,19.68,63.869999,61.93,53.59,39.169998,,20.040001,64.050003,63.040001000000004,53.720001,38.450001,,19.559998999999998,63.349998,61.66,53.330002,39.02,,19.91,64.029999,62.900002,53.490002000000004,34.113499,,14.886534,48.253372,47.172649,42.580509,11273000,,63332500,7271400,17680700,11387900
2010-02-03,38.91,,19.780001000000002,64.629997,62.740002000000004,53.73,38.91,,19.879998999999998,65.75,62.860001000000004,54.5,38.189999,,19.469998999999998,64.610001,62.360001000000004,53.639998999999996,38.330002,,19.68,65.209999,62.650002,54.27,33.510253999999996,,14.831895999999999,49.142628,46.985153000000004,43.201427,10657500,,45582300,13695300,11083500,17988900
