,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,6.503574371337891,41.856788635253906,28.09070587158203,92.40611267089844,18.951757431030273,23.801456451416016,7.526071548461914,54.130001068115234,32.25,130.89999389648438,28.5,30.479999542236328,7.619642734527588,55.220001220703125,32.75,132.85000610351562,28.875,30.989999771118164,7.519999980926514,54.04999923706055,32.220001220703125,130.75,28.46500015258789,30.479999542236328,7.611785888671875,55.0,32.27000045776367,132.41000366210938,28.790000915527344,30.979999542236328,352410800,2189400,19651700,4223400,10848800,31929700
2010-01-04,6.604801177978516,43.44197463989258,27.933923721313477,93.50031280517578,18.96506118774414,24.168472290039062,7.643214225769043,56.18000030517578,32.06999969482422,132.4499969482422,28.520000457763672,30.950000762939453,7.660714149475098,56.38999938964844,32.75,132.97000122070312,28.610000610351562,31.100000381469727,7.585000038146973,54.79999923706055,31.8700008392334,130.85000610351562,28.450000762939453,30.59000015258789,7.622499942779541,55.720001220703125,32.5,131.17999267578125,28.579999923706055,30.6200008392334,493729600,6186700,13700400,6155300,13870400,38409100
2010-01-05,6.6162190437316895,44.86477279663086,27.86423683166504,92.37083435058594,18.73564338684082,24.176279067993164,7.656428337097168,58.02000045776367,31.989999771118164,130.85000610351562,28.174999237060547,30.959999084472656,7.699642658233643,58.279998779296875,32.15999984741211,131.85000610351562,28.4950008392334,31.100000381469727,7.6160712242126465,56.0,31.700000762939453,130.10000610351562,28.06999969482422,30.639999389648438,7.664285659790039,56.25,32.06999969482422,131.67999267578125,28.424999237060547,30.850000381469727,601904800,8867800,10307700,6841400,23172400,49749600
2010-01-06,6.510980129241943,46.22572708129883,27.71616554260254,91.77079010009766,18.728988647460938,24.02790641784668,7.534642696380615,59.779998779296875,31.81999969482422,130.0,28.165000915527344,30.770000457763672,7.686785697937012,59.9900016784668,32.0,131.49000549316406,28.219999313354492,31.079999923706055,7.526785850524902,57.880001068115234,31.68000030517578,129.80999755859375,27.989999771118164,30.520000457763672,7.656428337097168,58.22999954223633,31.899999618530273,130.67999267578125,28.174999237060547,30.8799991607666,552160000,8836500,10709500,5605300,19264600,58182400
2010-01-07,6.4989447593688965,48.09703063964844,27.724878311157227,91.4531021118164,18.68243980407715,23.778024673461914,7.520714282989502,62.20000076293945,31.829999923706055,129.5500030517578,28.094999313354492,30.450000762939453,7.5714287757873535,62.310001373291016,31.860000610351562,130.25,28.184999465942383,30.700000762939453,7.466071605682373,59.02000045776367,31.540000915527344,128.91000366210938,27.875,30.190000534057617,7.5625,59.5099983215332,31.770000457763672,129.8699951171875,28.165000915527344,30.6299991607666,477131200,14379100,8202100,5840600,13234600,50559700
2010-01-08,6.542150497436523,47.63306427001953,27.76841926574707,92.37083435058594,18.336660385131836,23.9420166015625,7.570714473724365,61.599998474121094,31.8799991607666,130.85000610351562,27.575000762939453,30.65999984741211,7.5714287757873535,61.779998779296875,31.940000534057617,130.9199981689453,27.81999969482422,30.8799991607666,7.466428756713867,60.86000061035156,31.530000686645508,129.0500030517578,27.375,30.239999771118164,7.510714054107666,61.540000915527344,31.65999984741211,129.07000732421875,27.729999542236328,30.280000686645508,447610800,7146600,7657500,4197200,28712400,51197400
2010-01-11,6.484439373016357,47.068580627441406,27.315488815307617,91.40370178222656,18.709041595458984,23.63747215270996,7.5039286613464355,60.869998931884766,31.360000610351562,129.47999572753906,28.135000228881836,30.270000457763672,7.607142925262451,62.09000015258789,31.739999771118164,131.05999755859375,28.225000381469727,30.760000228881836,7.444643020629883,60.5099983215332,31.09000015258789,128.6699981689453,27.399999618530273,30.1200008392334,7.599999904632568,61.95000076293945,31.530000686645508,131.05999755859375,27.575000762939453,30.709999084472656,462229600,5624900,11250500,5730400,28642400,68754700
2010-01-12,6.410678863525391,46.72837448120117,26.845136642456055,92.13080596923828,18.91185760498047,23.481290817260742,7.418571472167969,60.43000030517578,30.81999969482422,130.50999450683594,28.440000534057617,30.06999969482422,7.491785526275635,61.20000076293945,31.1200008392334,131.3300018310547,28.5,30.399999618530273,7.372142791748047,59.90999984741211,30.68000030517578,129.0,28.030000686645508,29.90999984741211,7.471071243286133,60.06999969482422,31.020000457763672,129.02999877929688,28.045000076293945,30.149999618530273,594459600,5273800,14618300,8081500,23269800,65912100
