Dates;Destination;Group;Period;Price;Regio;Status;min_price
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624,00 €;Asia;19.10.2019;273 €
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624,00 €;Asia;19.10.2019;273 €
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;630 €;Asia;2019-10-20;273 €
['30.05.2020', '12.06.2020'];Bali;warme-reiseziele;2020-05;273 €;Asia;2019-10-20;273 €
['30.05.2020', '12.06.2020'];Bali;fernreisen;2020-05;273 €;Asia;2019-10-20;273 €
['18.08.2020', '25.08.2020'];Bali;sommerferien;2020-08;570 €;Asia;2019-10-26;273 €
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;04.10.2019;371,00 €
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;05.10.2019;371,00 €
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372,00 €;Asia;06.10.2019;371,00 €
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371,00 €;Asia;07.10.2019;371,00 €
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;09.10.2019;371,00 €
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373,00 €;Asia;18.10.2019;371,00 €
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373,00 €;Asia;19.10.2019;371,00 €
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;04.10.2019;371,00 €
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;05.10.2019;371,00 €
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372,00 €;Asia;06.10.2019;371,00 €
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371,00 €;Asia;07.10.2019;371,00 €
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372,00 €;Asia;09.10.2019;371,00 €
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373,00 €;Asia;18.10.2019;371,00 €
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373,00 €;Asia;19.10.2019;371,00 €
['21.02.2020', '29.02.2020'];Bangkok;fernreisen;2020-02;373 €;Asia;2019-10-20;371,00 €
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373 €;Asia;2019-10-22;371,00 €
['23.02.2020', '12.03.2020'];Bangkok;fernreisen;2020-02;373 €;Asia;2019-10-26;371,00 €
['28.02.2020', '15.03.2020'];Bangkok;fernreisen;2020-02;373 €;Asia;2019-10-26;371,00 €
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565,00 €;Asia;04.10.2019;564 €
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565,00 €;Asia;05.10.2019;564 €
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565,00 €;Asia;04.10.2019;564 €
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565,00 €;Asia;05.10.2019;564 €
['03.11.2019', '17.11.2019'];Bangkok Don Mueang;last-minute;2019-11;586 €;Asia;2019-10-20;564 €
['28.10.2019', '11.11.2019'];Bangkok Don Mueang;last-minute;2019-10;564 €;Asia;2019-10-26;564 €
