Destination;Dates;Price;Group;Period;Status;Regio;min_price
Adana;['21.10.2019', '03.11.2019'];138,00 €;warme-reiseziele;2019-10;04.10.2019;MENA;138,00 €
Ankara;['17.10.2019', '22.10.2019'];121,00 €;last-minute;2019-10;04.10.2019;MENA;121,00 €
Antalya;['26.10.2019', '08.11.2019'];141,00 €;warme-reiseziele;2019-10;04.10.2019;MENA;141,00 €
Athen;['05.09.2020', '15.09.2020'];124,00 €;warme-reiseziele;2020-09;04.10.2019;Europe;124,00 €
Athen;['05.09.2020', '15.09.2020'];124,00 €;warme-reiseziele;2020-09;05.10.2019;Europe;124,00 €
Athen;['05.09.2020', '15.09.2020'];124,00 €;warme-reiseziele;2020-09;06.10.2019;Europe;124,00 €
Atlanta;['23.11.2019', '30.11.2019'];361,00 €;fernreisen;2019-11;04.10.2019;USA;361,00 €
Atlanta;['24.10.2019', '10.11.2019'];361,00 €;fernreisen;2019-10;05.10.2019;USA;361,00 €
Atlanta;['24.04.2020', '30.04.2020'];361,00 €;fernreisen;2020-04;06.10.2019;USA;361,00 €
Atlanta;['24.10.2019', '09.11.2019'];361,00 €;fernreisen;2019-10;07.10.2019;USA;361,00 €
Atlanta;['21.10.2019', '08.11.2019'];361,00 €;last-minute;2019-10;07.10.2019;USA;361,00 €
Atlanta;['15.02.2020', '15.03.2020'];361,00 €;fernreisen;2020-02;09.10.2019;USA;361,00 €
Atlanta;['22.10.2019', '30.10.2019'];361,00 €;last-minute;2019-10;09.10.2019;USA;361,00 €
Austin;['03.03.2020', '10.03.2020'];338,00 €;fernreisen;2020-03;04.10.2019;USA;338,00 €
Austin;['31.10.2019', '19.11.2019'];338,00 €;fernreisen;2019-10;05.10.2019;USA;338,00 €
Austin;['03.03.2020', '10.03.2020'];338,00 €;fernreisen;2020-03;06.10.2019;USA;338,00 €
Austin;['21.04.2020', '28.04.2020'];338,00 €;fernreisen;2020-04;07.10.2019;USA;338,00 €
Austin;['21.04.2020', '28.04.2020'];338,00 €;warme-reiseziele;2020-04;07.10.2019;USA;338,00 €
Austin;['27.11.2019', '02.12.2019'];338,00 €;fernreisen;2019-11;09.10.2019;USA;338,00 €
Austin;['21.04.2020', '28.04.2020'];338,00 €;warme-reiseziele;2020-04;09.10.2019;USA;338,00 €
Bangkok;['21.02.2020', '08.03.2020'];372,00 €;fernreisen;2020-02;04.10.2019;Asia;371,00 €
Bangkok;['14.02.2020', '23.02.2020'];372,00 €;fernreisen;2020-02;05.10.2019;Asia;371,00 €
Bangkok;['21.04.2020', '04.05.2020'];372,00 €;fernreisen;2020-04;06.10.2019;Asia;371,00 €
Bangkok;['09.02.2020', '23.02.2020'];371,00 €;fernreisen;2020-02;07.10.2019;Asia;371,00 €
Bangkok;['21.02.2020', '08.03.2020'];372,00 €;fernreisen;2020-02;09.10.2019;Asia;371,00 €
Bangkok Don Mueang;['10.10.2019', '17.10.2019'];565,00 €;last-minute;2019-10;04.10.2019;Asia;565,00 €
Bangkok Don Mueang;['10.10.2019', '17.10.2019'];565,00 €;last-minute;2019-10;05.10.2019;Asia;565,00 €
Banjul;['12.11.2019', '25.11.2019'];339,00 €;warme-reiseziele;2019-11;07.10.2019;MENA;329,00 €
Banjul;['19.11.2019', '25.11.2019'];329,00 €;warme-reiseziele;2019-11;09.10.2019;MENA;329,00 €
Barcelona;['11.02.2020', '19.02.2020'];65,00 €;staedtereisen;2020-02;04.10.2019;Europe;57,00 €
Barcelona;['16.10.2019', '23.10.2019'];60,00 €;staedtereisen;2019-10;05.10.2019;Europe;57,00 €
Barcelona;['16.10.2019', '23.10.2019'];60,00 €;last-minute;2019-10;05.10.2019;Europe;57,00 €
Barcelona;['16.10.2019', '23.10.2019'];60,00 €;staedtereisen;2019-10;06.10.2019;Europe;57,00 €
