x,date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
0,16/12/2019,-0.07,-0.153,amc,4,0,0,AVXL,2019
2,16/12/2019,0.02,0.00765,amc,2,7625000,7476155,CSBR,2020
4,16/12/2019,-0.13,-0.0909,amc,4,77000,101499,CVM,2019
6,16/12/2019,-0.15,-0.0707,amc,4,8116000,9820124,MCC,2019
12,17/12/2019,-2.75,-1.734,dmh,4,2323000,2272585,CLSK,2019
13,17/12/2019,0.34,0.4929966,dmh,4,84048000,84222669,CRNC,2019
14,17/12/2019,2.27,2.0702328,amc,2,1843749000,1848492706,CTAS,2020
15,17/12/2019,2.51,2.7903674,amc,2,17324000000,17845766803,FDX,2020
16,17/12/2019,0.62,0.5819418,bmo,4,541529000,537625758,HEI,2019
17,17/12/2019,1.05,0.953541,bmo,1,7505698000,7054714981,JBL,2020
19,17/12/2019,1.02,0.9729633,bmo,4,2780000000,2841454802,NAV,2019
23,17/12/2019,0.6,0.5824367,dmh,2,827637000,798398999,WOR,2020
24,18/12/2019,-0.37,-0.3927,bmo,3,0,0,BYSI,2019
25,18/12/2019,-30.63,-1.2273966,amc,3,0,0,ETNB,2019
26,18/12/2019,0.95,0.8858912,bmo,2,4420800000,4493627498,GIS,2020
27,18/12/2019,0.48,0.4870767,amc,1,5144000000,5084301876,MU,2020
28,18/12/2019,0.7,0.6972516,bmo,2,990700000,1002468535,PAYX,2020
30,18/12/2019,0.46,0.3535,bmo,3,955200000,948720499,SCS,2020
32,18/12/2019,0.48,0.4612367,dmh,4,734379000,756219832,TTC,2019
33,18/12/2019,0.15,0.1919,amc,4,34288000,34536390,UBA,2019
35,18/12/2019,0.79,-0.1785,amc,4,8685000,10187554,YCBD,2019
36,19/12/2019,0.66,0.63125,bmo,4,1648000000,1694850725,ABM,2019
37,19/12/2019,2.09,2.0152025,bmo,1,11358958000,11311251522,ACN,2020
38,19/12/2019,0.64,0.601556,amc,2,560900000,533086322,AIR,2020
39,19/12/2019,0.57,0.7752,bmo,3,337916000,365880297,APOG,2020
40,19/12/2019,0.63,0.57469,bmo,2,2820800000,2840580603,CAG,2020
41,19/12/2019,0.15,0.1518678,amc,3,96597000,96538456,CAMP,2020
42,19/12/2019,0.45,0.45135,bmo,4,292175000,305578945,CVGW,2019
43,19/12/2019,1.12,1.0788214,bmo,2,2056400000,2093517238,DRI,2020
45,19/12/2019,0.12,0.09588,dmh,1,146674000,139300021,EPAC,2020
46,19/12/2019,2.58,2.4455231,dmh,1,366658000,372768280,FDS,2020
47,19/12/2019,0.88,0.8874,bmo,2,674200000,707556499,MLHR,2020
48,19/12/2019,0.7,0.5859515,amc,2,10326000000,10237767445,NKE,2020
49,19/12/2019,-0.12,-0.3128034,bmo,4,5853000,621687,OTLK,2019
51,19/12/2019,0.54,0.0909,bmo,3,5462298000,5503257427,RAD,2020
52,19/12/2019,0.05,0.13515,dmh,4,652900000,640690624,REVG,2019
53,19/12/2019,-0.92,-1.106598,dmh,4,906489000,900814631,SAFM,2019
54,19/12/2019,2.06,1.8054,amc,2,597200000,600068000,SCHL,2020
55,19/12/2019,0.55,0.74235,amc,1,272018000,284225709,SGH,2020
56,19/12/2019,-0.1,0.0102,amc,4,258959000,278891550,SHLO,2019
57,20/12/2019,-0.15,-0.3162,bmo,4,1000,0,ADXS,2019
59,20/12/2019,0.62,0.5089693,dmh,4,4781000000,4634718689,CCL,2019
61,20/12/2019,0.41,0.3939,bmo,3,114860000,112132632,EBF,2020
62,20/12/2019,1.04,1.1673479,bmo,3,4790028000,4750005292,KMX,2020
65,20/12/2019,0.73,0.58075,dmh,1,588458000,550152187,WGO,2020
70,23/12/2019,0.31,0.32436,dmh,2,107803000,112482705,NEOG,2020
71,24/12/2019,-0.28,-0.202,dmh,4,38853000,38975999,JOB,2019
81,30/12/2019,-2.38,-2.451775,bmo,3,1836844000,1656237414,NIO,2019
87,02/01/2020,0.38,0.3111,amc,2,184507000,188282499,RECN,2020
89,03/01/2020,-0.16,-0.0612,dmh,2,142593000,144675258,LNDC,2020
90,03/01/2020,0.95,0.87035,dmh,2,1019200000,979350835,LW,2020
91,06/01/2020,-0.21,0.03315,bmo,2,311522000,328929354,CALM,2020
92,06/01/2020,0.73,0.5495309,dmh,1,1384708000,1452891431,CMC,2020
95,07/01/2020,0.06,0.0204,bmo,2,70003000,72349200,ANGO,2020
96,07/01/2020,0,0.0408,amc,1,73551000,74054400,EXFO,2020
97,07/01/2020,0.13,0.0408,bmo,1,14631000,15224999,NTIC,2020
98,07/01/2020,0.04,0,amc,1,10461000,0,PCYO,2020
99,08/01/2020,-0.38,0.0204,amc,3,2759000000,2892749999,BBBY,2019
100,08/01/2020,0.83,0,amc,1,66802000,0,CCF,2020
101,08/01/2020,0.3,0.16362,bmo,1,769359000,759392549,GBX,2020
102,08/01/2020,3.12,3.130584,amc,3,474737000,453055399,HELE,2020
103,08/01/2020,0.62,0.04545,amc,4,1106000000,0,JEF,2019
104,08/01/2020,-0.15,-0.0306,amc,1,17440000,0,KRUS,2020
105,08/01/2020,-0.09,-0.0918,amc,1,34963000,42071749,KSHB,2020
106,08/01/2020,2.13,1.8234944,bmo,4,6972000000,6648249999,LEN,2019
107,08/01/2020,1.21,1.03424,bmo,1,823601000,831264699,MSM,2020
108,08/01/2020,-0.05,0.0204,amc,2,39634000,41614999,RELL,2020
109,08/01/2020,0.76,0.7820329,bmo,2,1401000000,1420999999,RPM,2020
110,08/01/2020,0.61,0.3838,amc,3,14196000,14199849,SAR,2020
111,08/01/2020,-0.17,0.0102,bmo,1,405584000,433790699,SCHN,2020
112,08/01/2020,0.01,0.0306,amc,3,5788000,5744899,STRM,2019
113,08/01/2020,2.14,2.2549967,bmo,3,1999000000,1979249999,STZ,2020
114,08/01/2020,2.52,2.2455633,bmo,1,465398000,466453399,UNF,2020
115,08/01/2020,1.37,1.1805587,bmo,1,34339000000,35119000000,WBA,2020
116,09/01/2020,0.02,0.0102,amc,2,6874000,6626934,AEHR,2020
117,09/01/2020,2.13,2.2302113,dmh,1,834700000,887843276,AYI,2020
118,09/01/2020,0.84,0.8181,dmh,3,291139000,275769410,AZZ,2020
120,09/01/2020,-0.04,-0.02472,amc,1,58613000,58431519,FC,2020
121,09/01/2020,1.31,1.2991125,amc,4,1558675000,1631761197,KBH,2019
122,09/01/2020,0.77,0.50904,dmh,1,109393000,112162067,LNN,2020
123,09/01/2020,-0.1,-0.0918,amc,3,0,0,LOOP,2020
124,09/01/2020,-2.14,-0.2822034,amc,4,0,0,NBSE,2019
126,09/01/2020,-0.05,0.0204,dmh,2,39634000,41614999,RELL,2020
127,09/01/2020,1.37,0.5886886,dmh,3,14195000,14197413,SAR,2020
128,09/01/2020,0.11,0.101,amc,1,9401000,8739150,SLP,2020
129,09/01/2020,0.22,0.2091,bmo,1,152153000,164179873,SMPL,2020
130,09/01/2020,4.26,3.64408,amc,4,6581293000,6078973720,SNX,2019
131,09/01/2020,-0.01,-0.0357,bmo,3,5368580,5935719,STRM,2019
132,09/01/2020,0.88,1.00266,amc,1,98556000,105531579,WDFC,2020
134,10/01/2020,0.64,0.6426,dmh,1,811941000,839705439,PSMT,2020
136,13/01/2020,-0.24,-0.2499,amc,4,36476000,31946282,LMNR,2019
140,14/01/2020,0,0.04335,amc,4,83952000,85660924,BBCP,2019
142,14/01/2020,1.7,1.4173128,dmh,4,11439000000,11515685981,DAL,2019
143,14/01/2020,1.39,1.2825081,dmh,4,877463000,870671059,FRC,2019
144,14/01/2020,0.65,0.6200478,bmo,4,1120400000,1137935104,INFO,2019
146,14/01/2020,2.57,2.3744191,bmo,4,29211000000,28354327530,JPM,2019
147,14/01/2020,0.17,0.1683367,amc,4,8046000,7963689,MVC,2019
148,14/01/2020,0.66,0.66606,amc,4,120172000,124856164,WAFD,2019
149,14/01/2020,0.93,1.1338159,dmh,4,19860000000,20439322117,WFC,2019
150,15/01/2020,-0.31,-0.223098,amc,4,2436000000,2511896371,AA,2019
151,15/01/2020,0.75,0.6904057,bmo,4,22494000000,22686518628,BAC,2019
152,15/01/2020,8.34,7.7692836,bmo,4,3977000000,3902551738,BLK,2019
153,15/01/2020,-0.05,-0.0816,bmo,2,1596000,1713319,BMRA,2020
154,15/01/2020,4.69,5.630083,bmo,4,9955000000,8632978117,GS,2019
156,15/01/2020,2.97,2.9622795,bmo,4,4609000000,4551488040,PNC,2019
159,15/01/2020,3.9,3.811942,bmo,4,60901000000,61951215331,UNH,2019
160,15/01/2020,1.08,1.0952238,bmo,4,5643000000,5872044533,USB,2019
161,15/01/2020,-0.04,-0.0306,amc,4,258408000,262884999,VOLT,2019
163,16/01/2020,1.01,1.0712,bmo,4,3988000000,3997733048,BK,2019
