Symbol,Description,premium_code,Quandlcode
ORLY,O'REILLY AUTOMOTIVE,EOD/ORLY,WIKI/ORLY
PCAR,PACCAR INC.,EOD/PCAR,WIKI/PCAR
PAYX,PAYCHEX INC.,EOD/PAYX,WIKI/PAYX
QCOM,QUALCOMM INC,EOD/QCOM,WIKI/QCOM
REGN,REGENERON PHARMACEUT,EOD/REGN,WIKI/REGN
ROST,ROSS STORES INC.,EOD/ROST,WIKI/ROST
SNDK,SANDISK CORPORATION,EOD/SNDK,WIKI/SNDK
SBAC,SBA COMMUNICATIONS,EOD/SBAC,WIKI/SBAC
STX,SEAGATE TECHNOLOGY,EOD/STX,WIKI/STX
SIRI,SIRIUS XM HOLDINGS I,EOD/SIRI,WIKI/SIRI
SWKS,SKYWORKS SOLUTIONS,EOD/SWKS,WIKI/SWKS
SPLS,STAPLES INC.,EOD/SPLS,WIKI/SPLS
SBUX,STARBUCKS CORP,EOD/SBUX,WIKI/SBUX
SRCL,STERICYCLE INC.,EOD/SRCL,WIKI/SRCL
SYMC,SYMANTEC CORPORATION,EOD/SYMC,WIKI/SYMC
TSLA,TESLA MOTORS INC,EOD/TSLA,WIKI/TSLA
TXN,TEXAS INSTRUMENTS,EOD/TXN,WIKI/TXN
PCLN,THE PRICELINE GP CM,EOD/PCLN,WIKI/PCLN
TSCO,TRACTOR SUPPLY CO,EOD/TSCO,WIKI/TSCO
TRIP,TRIPADVISOR INC.,EOD/TRIP,WIKI/TRIP
VRSK,VERISK ANALYTICS INC,EOD/VRSK,WIKI/VRSK
VRTX,VERTEX PHARMACEUTIC,EOD/VRTX,WIKI/VRTX
VIAB,VIACOM INC CL B,EOD/VIAB,WIKI/VIAB
VIP,VIMPELCOM LTD,EOD/VIP,GOOG/NASDAQ_VIP
VOD,VODAFONE GRP PLC ADS,EOD/VOD,WIKI/VOD
WBA,WALGREENS BTS ALN CM,EOD/WBA,WIKI/WBA
WDC,WESTERN DIGITAL CP,EOD/WDC,WIKI/WDC
WFM,WHOLE FOODS MARKET,EOD/WFM,WIKI/WFM
WYNN,WYNN RESORTS LIMITED,EOD/WYNN,WIKI/WYNN
XLNX,XILINX INC.,EOD/XLNX,WIKI/XLNX
YHOO,YAHOO! INC.,EOD/YHOO,WIKI/YHOO
FOXA,21ST CENTRY FOX A CM,EOD/FOXA,WIKI/FOXA
FOX,21ST CENTRY FOX B CM,EOD/FOX,WIKI/FOX
ATVI,ACTIVISION BLIZZARD,EOD/ATVI,WIKI/ATVI
ADBE,ADOBE SYSTEMS INC,EOD/ADBE,WIKI/ADBE
AKAM,AKAMAI TECHNOLOGIES,EOD/AKAM,WIKI/AKAM
ALXN,ALEXION PHARM INC,EOD/ALXN,WIKI/ALXN
GOOGL,ALPHABET CL A CMN,EOD/GOOGL,WIKI/GOOGL
GOOG,ALPHABET CL C CAP,EOD/GOOG,WIKI/GOOG
AMZN,AMAZON.COM INC,EOD/AMZN,WIKI/AMZN
AAL,AMERICAN AIRLINES GP,EOD/AAL,WIKI/AAL
AMGN,AMGEN,EOD/AMGN,WIKI/AMGN
ADI,ANALOG DEVICES CMN,EOD/ADI,WIKI/ADI
AAPL,APPLE INC.,EOD/AAPL,WIKI/AAPL
AMAT,APPLIED MATERIALS,EOD/AMAT,WIKI/AMAT
ADSK,AUTODESK INC,EOD/ADSK,WIKI/ADSK
ADP,AUTOMATIC DATA PROCS,EOD/ADP,WIKI/ADP
AVGO,AVAGO TECHNOLOGIES L,EOD/AVGO,WIKI/AVGO
BIDU,BAIDU INC.,EOD/BIDU,WIKI/BIDU
BBBY,BED BATH & BEYOND,EOD/BBBY,WIKI/BBBY
BIIB,BIOGEN INC CMN,EOD/BIIB,WIKI/BIIB
BMRN,BIOMARIN PHARMACEUT,EOD/BMRN,WIKI/BMRN
BRCM,BROADCOM CORP,EOD/BRCM,WIKI/BRCM
CHRW,C.H. ROBINSON WW,EOD/CHRW,WIKI/CHRW
CA,CA INC,EOD/CA,WIKI/CA
CELG,CELGENE CORP,EOD/CELG,WIKI/CELG
