;Symbol;Name;Sector
0;MMM;3M Co.;Industrials
1;ABT;Abbott Laboratories;Health Care
2;ABBV;AbbVie Inc.;Health Care
3;ACN;Accenture;Information Technology
4;ACE;ACE Limited;Financials
5;ACT;Actavis Inc;Health Care
6;ADBE;Adobe Systems Inc;Information Technology
7;AES;AES Corp;Utilities
8;AET;Aetna Inc;Health Care
9;AFL;AFLAC Inc;Financials
10;A;Agilent Technologies Inc;Health Care
11;GAS;AGL Resources Inc.;Utilities
12;APD;Air Products & Chemicals Inc;Materials
13;ARG;Airgas Inc;Materials
14;AKAM;Akamai Technologies Inc;Information Technology
15;AA;Alcoa Inc;Materials
16;ALXN;Alexion Pharmaceuticals;Health Care
17;ATI;Allegheny Technologies Inc;Materials
18;ALLE;Allegion plc;Industrials
19;AGN;Allergan Inc;Health Care
20;ADS;Alliance Data Systems Corp;Information Technology
21;ALL;Allstate Corp;Financials
22;ALTR;Altera Corp;Information Technology
23;MO;Altria Group Inc;Consumer Staples
24;AMZN;Amazon.com Inc;Consumer Discretionary
25;AEE;Ameren Corp;Utilities
26;AEP;American Electric Power;Utilities
27;AXP;American Express Co;Financials
28;AIG;American Intl Group Inc;Financials
29;AMT;American Tower Corp A;Financials
30;AMP;Ameriprise Financial;Financials
31;ABC;AmerisourceBergen Corp;Health Care
32;AME;AMETEK Inc;Information Technology
33;AMGN;Amgen Inc;Health Care
34;APH;Amphenol Corp A;Industrials
35;APC;Anadarko Petroleum Corp;Energy
36;ADI;Analog Devices Inc;Information Technology
37;AON;Aon plc;Financials
38;APA;Apache Corporation;Energy
39;AIV;Apartment Investment & Mgmt;Financials
40;AAPL;Apple Inc.;Information Technology
41;AMAT;Applied Materials Inc;Information Technology
42;ADM;Archer-Daniels-Midland Co;Consumer Staples
43;AIZ;Assurant Inc;Financials
44;T;AT&T Inc;Telecommunications Services
45;ADSK;Autodesk Inc;Information Technology
46;ADP;Automatic Data Processing;Information Technology
47;AN;AutoNation Inc;Consumer Discretionary
48;AZO;AutoZone Inc;Consumer Discretionary
49;AVB;AvalonBay Communities, Inc.;Financials
50;AVY;Avery Dennison Corp;Industrials
51;AVP;Avon Products;Consumer Staples
52;BHI;Baker Hughes Inc;Energy
53;BLL;Ball Corp;Materials
54;BAC;Bank of America Corp;Financials
55;BCR;Bard (C.R.) Inc.;Health Care
56;BAX;Baxter International Inc.;Health Care
57;BBT;BB&T Corporation;Financials
58;BEAM;Beam Inc.;Consumer Discretionary
59;BDX;Becton Dickinson;Health Care
60;BBBY;Bed Bath & Beyond;Consumer Discretionary
61;BMS;Bemis Company;Materials
62;BRK-B;Berkshire Hathaway;Financials
63;BBY;Best Buy Co. Inc.;Consumer Discretionary
64;BIIB;BIOGEN IDEC Inc.;Health Care
65;BLK;BlackRock;Financials
66;HRB;Block H&R;Consumer Discretionary
67;BA;Boeing Company;Industrials
68;BWA;BorgWarner;Consumer Discretionary
69;BXP;Boston Properties;Financials
70;BSX;Boston Scientific;Health Care
71;BMY;Bristol-Myers Squibb;Health Care
72;BRCM;Broadcom Corporation;Information Technology
73;BF-B;Brown-Forman Corporation;Consumer Staples
74;CA;CA, Inc.;Information Technology
75;CVC;Cablevision Systems Corp.;Consumer Discretionary
76;COG;Cabot Oil & Gas;Energy
77;CAM;Cameron International Corp.;Energy
78;CPB;Campbell Soup;Consumer Staples
79;COF;Capital One Financial;Financials
80;CAH;Cardinal Health Inc.;Health Care
81;CFN;Carefusion;Health Care
82;KMX;Carmax Inc;Consumer Discretionary
83;CCL;Carnival Corp.;Consumer Discretionary
84;CAT;Caterpillar Inc.;Industrials
85;CBG;CBRE Group;Financials
86;CBS;CBS Corp.;Consumer Discretionary
87;CELG;Celgene Corp.;Health Care
88;CNP;CenterPoint Energy;Utilities
89;CTL;CenturyLink Inc;Telecommunications Services
90;CERN;Cerner;Health Care
91;CF;CF Industries Holdings Inc;Materials
92;CHRW;C. H. Robinson Worldwide;Industrials
93;CHK;Chesapeake Energy;Energy
94;CVX;Chevron Corp.;Energy
95;CMG;Chipotle Mexican Grill;Consumer Discretionary
96;CB;Chubb Corp.;Financials
97;CI;CIGNA Corp.;Health Care
98;CINF;Cincinnati Financial;Financials
99;CTAS;Cintas Corporation;Industrials
100;CSCO;Cisco Systems;Information Technology
101;C;Citigroup Inc.;Financials
102;CTXS;Citrix Systems;Information Technology
103;CLF;Cliffs Natural Resources;Materials
104;CLX;Clorox Co.;Consumer Staples
105;CME;CME Group Inc.;Financials
106;CMS;CMS Energy;Utilities
107;COH;Coach Inc.;Consumer Discretionary
108;KO;Coca Cola Co.;Consumer Staples
109;CCE;Coca-Cola Enterprises;Consumer Staples
110;CTSH;Cognizant Technology Solutions;Information Technology
111;CL;Colgate-Palmolive;Consumer Staples
112;CMCSA;Comcast Corp.;Consumer Discretionary
113;CMA;Comerica Inc.;Financials
114;CSC;Computer Sciences Corp.;Information Technology
115;CAG;ConAgra Foods Inc.;Consumer Staples
116;COP;ConocoPhillips;Energy
117;CNX;CONSOL Energy Inc.;Energy
118;ED;Consolidated Edison;Utilities
119;STZ;Constellation Brands;Consumer Staples
120;GLW;Corning Inc.;Industrials
121;COST;Costco Co.;Consumer Staples
122;COV;Covidien plc;Health Care
123;CCI;Crown Castle International Corp.;Telecommunications Services
124;CSX;CSX Corp.;Industrials
125;CMI;Cummins Inc.;Industrials
126;CVS;CVS Caremark Corp.;Consumer Staples
127;DHR;Danaher Corp.;Industrials
128;DRI;Darden Restaurants;Consumer Discretionary
129;DVA;DaVita Inc.;Health Care
130;DE;Deere & Co.;Industrials
131;DLPH;Delphi Automotive PLC;Consumer Discretionary
132;DAL;Delta Air Lines;Industrials
133;DNR;Denbury Resources Inc.;Energy
134;XRAY;Dentsply International;Health Care
135;DVN;Devon Energy Corp.;Energy
136;DO;Diamond Offshore Drilling;Energy
137;DTV;DirecTV;Consumer Discretionary
138;DFS;Discover Financial Services;Financials
139;DISCA;Discovery Communications;Consumer Discretionary
140;DG;Dollar General Corp;Consumer Discretionary
141;DLTR;Dollar Tree;Consumer Discretionary
142;D;Dominion Resources;Utilities
143;DOV;Dover Corp.;Industrials
144;DOW;Dow Chemical;Materials
145;DPS;Dr Pepper Snapple Group;Consumer Staples
