Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-03-19,1166.25,1170.0,1164.75,,,1170.0,323112.0,1271481.0
2010-03-18,1165.25,1169.25,1161.0,,,1166.0,382975.0,1404506.0
2010-03-17,1159.5,1170.0,1158.75,,,1165.75,382975.0,1404506.0
2010-03-16,1150.25,1160.5,1149.0,,,1159.5,534353.0,1488677.0
2010-03-15,1151.0,1151.0,1141.25,,,1150.25,542821.0,1677535.0
2010-03-12,1150.75,1159.5,1146.75,,,1151.25,826747.0,1840018.0
2010-03-11,1145.25,1151.0,1138.5,,,1150.5,1642010.0,2171812.0
2010-03-10,1140.0,1148.0,1137.75,,,1145.75,2112662.0,2587207.0
2010-03-09,1137.25,1145.25,1131.5,,,1140.5,1759468.0,2732028.0
2010-03-08,1136.25,1140.5,1135.0,,,1137.0,1179723.0,2767605.0
2010-03-05,1122.0,1138.75,1121.5,,,1136.5,1869074.0,2784520.0
2010-03-04,1118.25,1123.5,1114.0,,,1122.25,1490362.0,2751134.0
2010-03-03,1117.5,1125.0,1115.0,,,1118.5,1583814.0,2800091.0
2010-03-02,1114.25,1122.75,1112.75,,,1117.5,1502795.0,2775511.0
2010-03-01,1105.5,1115.5,1104.25,,,1114.5,1615001.0,2816032.0
2010-02-26,1102.0,1107.75,1096.25,,,1103.5,1944020.0,2819976.0
2010-02-25,1103.0,1103.5,1084.5,,,1102.25,2697610.0,2830299.0
2010-02-24,1096.75,1105.5,1092.5,,,1103.5,1882885.0,2805411.0
2010-02-23,1107.0,1112.75,1090.25,,,1097.25,2224420.0,2796410.0
2010-02-22,1106.0,1112.75,1103.5,,,1107.5,1317880.0,2759021.0
2010-02-19,1105.5,1111.0,1092.5,,,1106.25,2096659.0,2754810.0
2010-02-18,1099.75,1106.75,1093.0,,,1105.5,1832739.0,2804518.0
2010-02-17,1093.25,1100.0,1092.5,,,1099.5,1669958.0,2803301.0
2010-02-16,1076.5,1094.0,1075.25,,,1093.25,1761523.0,2795293.0
