Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-06-15,1332.25,1339.75,1331.25,,,1335.75,72958.0,865042.0
2012-06-14,1315.75,1334.5,1311.75,,,1332.75,485343.0,990778.0
2012-06-13,1326.25,1327.75,1310.25,,,1315.75,510825.0,990778.0
2012-06-12,1307.5,1327.25,1303.75,,,1327.0,817732.0,1176759.0
2012-06-11,1342.0,1349.0,1306.25,,,1307.0,1171295.0,1550720.0
2012-06-08,1316.25,1329.5,1305.5,,,1329.25,1334013.0,2040231.0
2012-06-07,1315.25,1329.5,1312.0,,,1316.25,2577317.0,2482306.0
2012-06-06,1285.25,1315.75,1283.0,,,1315.75,2836135.0,2773548.0
2012-06-05,1273.25,1286.75,1267.5,,,1285.5,2034610.0,2921466.0
2012-06-04,1275.0,1281.5,1262.0,,,1272.75,2334031.0,2960597.0
2012-06-01,1306.25,1307.5,1273.5,,,1273.75,3276495.0,3008101.0
2012-05-31,1309.0,1319.0,1297.25,,,1306.0,2745153.0,2961742.0
2012-05-30,1333.5,1334.25,1308.0,,,1308.5,2313601.0,2979748.0
2012-05-29,1321.0,1334.25,1317.5,,,1333.5,2235310.0,2959600.0
2012-05-28,1322.0,1328.5,1319.75,,,1321.5,152984.0,2951359.0
2012-05-25,1322.5,1329.75,1312.0,,,1314.75,1519593.0,2950849.0
2012-05-24,1315.75,1323.5,1306.0,,,1323.0,2171122.0,2962701.0
2012-05-23,1315.5,1319.0,1294.0,,,1316.0,2555000.0,2971911.0
2012-05-22,1315.25,1326.5,1307.5,,,1315.0,2449047.0,2942926.0
2012-05-21,1291.75,1316.0,1287.25,,,1315.75,2041257.0,2928492.0
2012-05-18,1302.0,1310.5,1289.75,,,1290.5,2775704.0,2957278.0
2012-05-17,1323.0,1330.75,1300.5,,,1301.5,2883903.0,2927847.0
2012-05-16,1328.75,1339.75,1320.75,,,1322.75,2281345.0,2941326.0
2012-05-15,1334.5,1347.0,1325.5,,,1328.5,2395350.0,2929667.0
2012-05-14,1346.0,1351.0,1333.25,,,1334.25,1912794.0,2870892.0
2012-05-11,1357.5,1363.25,1344.0,,,1350.0,1839116.0,2859612.0
2012-05-10,1351.25,1363.75,1345.75,,,1357.25,1836066.0,2842146.0
2012-05-09,1359.0,1360.75,1339.25,,,1351.0,2523171.0,2856301.0
2012-05-08,1365.25,1368.0,1343.75,,,1358.75,2306906.0,2832476.0
2012-05-07,1354.0,1370.25,1342.5,,,1365.75,1606353.0,2826296.0
2012-05-04,1386.5,1389.0,1361.5,,,1362.5,2074698.0,2833205.0
2012-05-03,1397.5,1402.75,1384.5,,,1386.0,1759554.0,2800522.0
2012-05-02,1400.5,1404.75,1389.25,,,1397.5,1679970.0,2818494.0
2012-05-01,1394.25,1411.75,1391.25,,,1400.5,1305365.0,2825580.0
2012-04-30,1400.25,1402.5,1389.75,,,1394.25,1319740.0,2820525.0
2012-04-27,1396.75,1403.0,1386.5,,,1399.0,1610498.0,2844782.0
2012-04-26,1387.25,1398.25,1381.0,,,1397.0,1666428.0,2852617.0
2012-04-25,1370.75,1387.75,1369.5,,,1387.5,1827184.0,2816352.0
2012-04-24,1363.0,1371.25,1361.0,,,1370.0,1439403.0,2791554.0
2012-04-23,1372.25,1374.75,1354.0,,,1362.75,1848613.0,2808295.0
2012-04-20,1373.75,1383.25,1371.25,,,1375.0,1808198.0,2779316.0
2012-04-19,1378.75,1390.0,1365.5,,,1372.5,2631716.0,2792920.0
2012-04-18,1383.75,1386.75,1377.75,,,1378.5,1848186.0,2787008.0
2012-04-17,1364.25,1388.75,1359.25,,,1383.75,1847678.0,2781649.0
2012-04-16,1366.0,1375.25,1360.5,,,1363.75,1959799.0,2769578.0
2012-04-13,1385.75,1388.5,1363.75,,,1365.0,1925749.0,2760858.0
2012-04-12,1364.25,1386.25,1363.25,,,1386.0,1852924.0,2762959.0
2012-04-11,1357.75,1370.5,1357.5,,,1364.25,1739768.0,2735723.0
2012-04-10,1374.25,1380.75,1352.5,,,1356.75,2514979.0,2756491.0
2012-04-09,1375.0,1382.75,1371.75,,,1374.5,1082026.0,2746096.0
2012-04-05,1393.25,1397.75,1384.0,,,1390.25,1536406.0,2727847.0
2012-04-04,1409.0,1409.0,1388.5,,,1393.25,1826283.0,2706184.0
2012-04-03,1412.0,1414.25,1399.5,,,1408.5,1673086.0,2736147.0
2012-04-02,1407.25,1417.75,1399.0,,,1412.25,1718252.0,2738339.0
2012-03-30,1398.0,1406.25,1395.75,,,1404.0,1616860.0,2709590.0
2012-03-29,1399.5,1404.0,1386.25,,,1398.0,1826376.0,2730099.0
2012-03-28,1406.25,1412.25,1392.0,,,1400.0,1752041.0,2726812.0
2012-03-27,1415.0,1419.75,1406.0,,,1406.0,1251732.0,2722273.0
2012-03-26,1393.75,1415.5,1392.5,,,1415.25,1456063.0,2702345.0
2012-03-23,1389.0,1395.25,1380.5,,,1394.25,1559328.0,2697307.0
2012-03-22,1397.75,1400.75,1382.5,,,1389.0,1682241.0,2700517.0
2012-03-21,1400.0,1405.75,1394.25,,,1397.75,1533339.0,2696753.0
2012-03-20,1404.0,1405.0,1391.75,,,1400.0,1583682.0,2692793.0
2012-03-19,1397.25,1408.0,1393.5,,,1404.25,1517944.0,2680501.0
2012-03-16,1395.75,1400.5,1394.0,,,1398.75,1377398.0,2681911.0
2012-03-15,1388.25,1397.5,1384.75,,,1396.0,1946542.0,2672834.0
2012-03-14,1390.5,1394.25,1384.25,,,1388.75,2095305.0,2563097.0
2012-03-13,1366.75,1391.25,1366.0,,,1390.5,2739820.0,2371441.0
2012-03-12,1366.75,1367.0,1360.25,,,1366.5,1876250.0,1797488.0
2012-03-09,1360.25,1368.75,1357.5,,,1366.5,1889522.0,1284377.0
2012-03-08,1347.0,1362.5,1344.75,,,1360.5,917534.0,846470.0
2012-03-07,1336.75,1348.25,1335.75,,,1347.5,209354.0,373355.0
