Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-09-17,1128.0,1137.75,1127.75,,,1133.0,375122.0,1019389.0
2010-09-16,1126.25,1129.0,1118.0,,,1127.75,540325.0,1125297.0
2010-09-15,1120.75,1126.5,1114.0,,,1125.75,540325.0,1125297.0
2010-09-14,1120.75,1127.5,1115.0,,,1120.75,652411.0,1332089.0
2010-09-13,1112.5,1124.0,1112.0,,,1121.25,891533.0,1547198.0
2010-09-10,1103.0,1110.5,1100.5,,,1109.75,892734.0,1863017.0
2010-09-09,1099.25,1112.0,1096.75,,,1102.5,1612227.0,2246071.0
2010-09-08,1091.5,1103.0,1086.25,,,1099.25,2001331.0,2602936.0
2010-09-07,1104.0,1107.25,1089.75,,,1091.25,1751617.0,2803647.0
2010-09-06,1103.75,1107.0,1101.75,,,1104.5,2017072.0,2850566.0
2010-09-03,1089.75,1104.5,1086.25,,,1103.5,2017072.0,2863151.0
2010-09-02,1081.5,1090.5,1076.5,,,1089.5,1601762.0,2875870.0
2010-09-01,1051.75,1082.5,1050.75,,,1081.75,2355074.0,2901867.0
2010-08-31,1045.0,1054.25,1037.5,,,1048.25,2516451.0,2964455.0
2010-08-30,1064.5,1072.75,1044.5,,,1045.0,1506592.0,2930569.0
2010-08-27,1043.75,1064.5,1037.25,,,1063.75,2541324.0,2919615.0
2010-08-26,1055.25,1061.75,1043.0,,,1044.75,1994211.0,2917867.0
2010-08-25,1050.0,1057.75,1037.25,,,1054.5,2478780.0,2880019.0
2010-08-24,1065.5,1065.75,1044.0,,,1049.75,2466756.0,2879240.0
2010-08-23,1070.0,1080.25,1064.25,,,1065.5,1567358.0,2822978.0
2010-08-20,1070.75,1076.0,1061.75,,,1070.25,1806978.0,2792043.0
2010-08-19,1087.0,1095.0,1068.5,,,1070.75,2433838.0,2815775.0
2010-08-18,1089.0,1098.5,1083.75,,,1086.75,1814778.0,2752050.0
2010-08-17,1077.25,1098.5,1074.5,,,1089.0,1779783.0,2787274.0
2010-08-16,1077.5,1081.5,1066.25,,,1077.25,1612131.0,2765067.0
2010-08-13,1079.5,1089.0,1072.5,,,1076.0,1479393.0,2726008.0
2010-08-12,1085.0,1087.5,1070.5,,,1079.25,2180112.0,2746057.0
2010-08-11,1119.25,1119.75,1084.5,,,1085.0,2638258.0,2747067.0
2010-08-10,1125.25,1125.75,1108.25,,,1119.75,2029717.0,2716708.0
2010-08-09,1120.0,1126.75,1116.5,,,1125.5,998906.0,2717711.0
2010-08-06,1123.5,1127.0,1103.75,,,1119.5,2177376.0,2713680.0
2010-08-05,1124.75,1127.75,1115.5,,,1123.5,1340145.0,2710663.0
2010-08-04,1118.0,1126.0,1112.25,,,1124.5,1591800.0,2699304.0
2010-08-03,1121.75,1122.75,1113.25,,,1118.25,1493524.0,2716644.0
2010-08-02,1104.5,1124.25,1101.75,,,1121.75,1610959.0,2730487.0
2010-07-30,1096.25,1103.5,1083.5,,,1098.25,2133582.0,2709258.0
2010-07-29,1102.5,1113.0,1088.75,,,1097.0,2250104.0,2761379.0
2010-07-28,1110.5,1115.75,1099.25,,,1102.0,1641500.0,2746022.0
