Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-09-19,2013.5,2022.5,2013.25,2019.25,,2022.46,75631.0,829823.0
2014-09-18,2003.5,2014.5,2001.0,2014.25,10.75,2012.25,333362.0,916367.0
2014-09-17,1999.5,2010.75,1991.25,2003.75,2.0,2001.5,623120.0,1146257.0
2014-09-16,1984.75,2002.5,1978.5,1999.75,15.25,1999.5,883301.0,1585550.0
2014-09-15,1981.75,1987.25,1972.0,1985.25,0.5,1984.25,850706.0,2041606.0
2014-09-12,1999.25,1999.25,1979.5,1984.0,12.25,1984.75,1254423.0,2549337.0
2014-09-11,1994.5,1999.5,1985.0,1999.0,2.0,1997.0,1736194.0,2885062.0
2014-09-10,1989.5,1996.25,1981.5,1995.0,5.25,1995.0,1589905.0,3017688.0
2014-09-09,2000.25,2003.0,1983.25,1989.5,10.75,1989.75,1768180.0,2992833.0
2014-09-08,2006.5,2006.75,1994.0,2000.75,5.5,2000.5,1211086.0,2989310.0
2014-09-05,1999.0,2007.75,1988.25,2007.5,8.25,2006.0,1692946.0,3005614.0
2014-09-04,1998.75,2010.0,1990.75,1999.25,1.0,1997.75,1518599.0,3009547.0
2014-09-03,2000.5,2011.0,1996.25,1999.0,1.0,1998.75,1297794.0,3008458.0
2014-09-02,1999.0,2006.25,1992.75,2000.5,1.75,1999.75,1244805.0,3011118.0
2014-08-29,1999.25,2003.75,1992.25,1998.75,4.75,2001.5,1042342.0,3004649.0
2014-08-28,1996.75,1999.5,1987.5,1999.5,0.25,1996.75,1088965.0,2996449.0
2014-08-27,1999.25,2000.5,1993.5,1997.0,1.5,1997.0,759991.0,2973216.0
2014-08-26,1994.5,2002.75,1992.25,1998.75,3.5,1998.5,877452.0,2972614.0
2014-08-25,1990.0,1999.75,1988.75,1995.0,7.25,1995.0,850103.0,2959504.0
2014-08-22,1989.75,1991.5,1981.5,1987.75,1.75,1987.75,1115544.0,2962627.0
2014-08-21,1982.75,1992.0,1980.75,1989.75,6.25,1989.5,840038.0,2954359.0
2014-08-20,1977.75,1986.0,1973.0,1983.5,6.0,1983.25,1058474.0,2960508.0
2014-08-19,1968.5,1979.75,1968.25,1977.75,9.75,1977.25,866006.0,2935727.0
2014-08-18,1955.75,1969.0,1955.75,1968.5,15.0,1967.5,884004.0,2930057.0
2014-08-15,1954.25,1961.0,1937.25,1953.75,1.0,1952.5,1811277.0,2947976.0
2014-08-14,1946.0,1955.0,1942.0,1954.5,8.75,1953.5,965033.0,2932233.0
2014-08-13,1932.25,1946.5,1930.75,1946.0,14.25,1944.75,1119840.0,2920411.0
2014-08-12,1934.0,1938.75,1923.5,1932.5,2.0,1930.5,1233748.0,2910845.0
2014-08-11,1923.5,1941.0,1923.25,1933.5,8.75,1932.5,1177405.0,2901948.0
2014-08-08,1905.25,1928.25,1890.25,1923.25,18.5,1923.75,1900403.0,2916013.0
2014-08-07,1914.75,1925.75,1899.75,1905.5,9.5,1905.25,1949342.0,2891258.0
2014-08-06,1914.75,1923.5,1903.0,1915.0,1.75,1914.75,1703654.0,2897573.0
2014-08-05,1931.0,1933.25,1907.5,1914.5,19.0,1913.0,2133765.0,2896652.0
2014-08-04,1919.5,1937.5,1914.75,1931.25,13.5,1932.0,1604373.0,2901142.0
2014-08-01,1926.0,1932.25,1910.25,1917.0,6.25,1918.5,2876640.0,2936401.0
2014-07-31,1965.0,1965.5,1923.5,1925.5,40.25,1924.75,5532066.0,2928531.0
2014-07-30,1964.25,1974.25,1956.5,1965.25,2.0,1965.0,1761889.0,2944211.0
2014-07-29,1972.5,1979.5,1962.0,1964.5,10.0,1963.0,1499831.0,2938486.0
2014-07-28,1970.75,1976.0,1960.75,1972.5,1.5,1973.0,1358371.0,2929174.0
2014-07-25,1978.75,1980.75,1968.0,1970.75,9.25,1971.5,1426516.0,2943169.0
2014-07-24,1981.0,1985.75,1976.75,1979.25,,1980.75,1163673.0,2941364.0
2014-07-23,1973.0,1983.5,1972.75,1981.25,5.75,1980.75,1149287.0,2934875.0
2014-07-22,1965.75,1980.5,1965.25,1974.25,8.75,1975.0,1274810.0,2936374.0
2014-07-21,1970.25,1971.5,1959.0,1965.75,5.25,1966.25,1412516.0,2949424.0
2014-07-18,1949.25,1974.25,1942.5,1971.25,18.0,1971.5,1794645.0,2941204.0
2014-07-17,1971.25,1976.0,1948.5,1950.0,21.25,1953.5,2438418.0,2927567.0
2014-07-16,1968.0,1978.0,1967.0,1971.5,6.75,1974.75,1313844.0,2918047.0
2014-07-15,1971.25,1976.25,1958.75,1968.75,3.0,1968.0,1905574.0,2909158.0
2014-07-14,1962.75,1974.0,1962.5,1971.25,8.5,1971.0,1003699.0,2880205.0
2014-07-11,1957.25,1963.5,1953.0,1962.75,4.75,1962.5,1361251.0,2908909.0
2014-07-10,1967.5,1968.25,1945.25,1957.5,9.5,1957.75,1972590.0,2915996.0
2014-07-09,1960.5,1968.25,1958.25,1967.75,6.75,1967.25,1390496.0,2915133.0
2014-07-08,1970.5,1970.75,1952.75,1960.25,10.5,1960.5,3546387.0,2904863.0
2014-07-07,1975.75,1977.5,1967.25,1970.75,6.5,1971.0,2194784.0,2906788.0
2014-07-03,1968.0,1978.25,1966.0,1977.5,9.75,1977.5,840598.0,2915129.0
2014-07-02,1966.25,1970.0,1964.5,1968.25,2.0,1967.75,915433.0,2929352.0
2014-07-01,1954.5,1971.75,1953.5,1966.25,13.25,1965.75,1454015.0,2925452.0
2014-06-30,1951.75,1956.75,1948.0,1955.0,0.5,1952.5,1155776.0,2891207.0
