Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-12-17,1243.25,1245.0,1240.75,,,1242.0,19703.0,1158352.0
2010-12-16,1237.0,1244.5,1232.5,,,1243.5,123099.0,1177387.0
2010-12-15,1242.0,1244.25,1234.0,,,1237.0,533898.0,1177387.0
2010-12-14,1240.75,1247.25,1237.75,,,1241.75,662944.0,1397989.0
2010-12-13,1242.0,1247.0,1236.75,,,1241.25,682650.0,1674400.0
2010-12-10,1232.75,1241.5,1231.5,,,1241.0,893224.0,1895370.0
2010-12-09,1228.5,1238.0,1226.5,,,1233.0,1388754.0,2206219.0
2010-12-08,1222.75,1229.25,1217.25,,,1228.75,2142544.0,2518842.0
2010-12-07,1222.75,1235.0,1219.0,,,1223.25,2449523.0,2743781.0
2010-12-06,1223.25,1226.75,1216.25,,,1222.0,1326050.0,2803507.0
2010-12-03,1222.75,1227.25,1213.0,,,1223.5,1890658.0,2855263.0
2010-12-02,1204.0,1223.25,1202.0,,,1222.75,2037342.0,2845193.0
2010-12-01,1177.75,1207.75,1176.25,,,1204.5,2346276.0,2827756.0
2010-11-30,1186.5,1188.25,1173.0,,,1179.5,3089404.0,2792037.0
2010-11-29,1188.5,1193.75,1172.25,,,1186.5,2491942.0,2771661.0
2010-11-26,1199.0,1199.5,1182.5,,,1183.25,963332.0,2773708.0
2010-11-25,1195.75,1200.5,1192.75,,,1200.0,1821455.0,2782893.0
2010-11-24,1178.0,1197.5,1175.5,,,1196.5,1818843.0,2778957.0
2010-11-23,1197.0,1197.75,1174.75,,,1178.25,2456997.0,2778957.0
2010-11-22,1202.75,1206.0,1182.5,,,1198.0,2212329.0,2773910.0
2010-11-19,1197.5,1200.0,1187.5,,,1198.25,1733603.0,2794626.0
2010-11-18,1177.75,1199.0,1177.0,,,1197.75,2067180.0,2808354.0
2010-11-17,1175.75,1182.0,1173.25,,,1177.5,2021219.0,2779026.0
2010-11-16,1195.25,1195.25,1171.0,,,1174.75,3168883.0,2831177.0
2010-11-15,1195.5,1205.75,1192.5,,,1195.75,2071297.0,2830041.0
2010-11-12,1210.5,1211.75,1191.5,,,1195.5,2766115.0,2812753.0
