Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-12-19,2066.0,2079.75,2061.25,2065.0,,2061.01,81781.0,710791.0
2014-12-18,2013.75,2068.0,2010.75,2066.75,50.75,2065.0,538236.0,742173.0
2014-12-17,1973.5,2017.0,1972.75,2014.0,42.75,2014.25,1566109.0,1000029.0
2014-12-16,1991.25,2018.0,1968.25,1972.75,18.5,1971.5,1216734.0,1398167.0
2014-12-15,1998.75,2019.25,1981.5,1990.5,7.25,1990.0,1128900.0,1818004.0
2014-12-12,2029.5,2032.25,1996.5,1999.5,33.75,1997.25,1485315.0,2241682.0
2014-12-11,2026.25,2056.5,2023.75,2029.5,4.5,2031.0,2241068.0,2651642.0
2014-12-10,2057.75,2060.0,2023.25,2025.75,31.0,2026.5,2369388.0,2818803.0
2014-12-09,2060.25,2062.25,2033.25,2057.75,2.0,2057.5,3775698.0,2874241.0
2014-12-08,2075.75,2077.5,2053.75,2060.5,16.5,2059.5,2822438.0,2908207.0
2014-12-05,2071.75,2079.0,2068.5,2076.5,4.0,2076.0,1147239.0,2946103.0
2014-12-04,2073.0,2077.25,2061.25,2071.75,0.5,2072.0,1374378.0,2944324.0
2014-12-03,2066.5,2076.0,2063.25,2073.0,6.5,2072.5,922158.0,2962937.0
2014-12-02,2051.0,2068.0,2050.75,2066.5,15.25,2066.0,1148288.0,2948066.0
2014-12-01,2063.25,2064.0,2048.25,2050.75,15.5,2050.75,1470728.0,2959182.0
2014-11-28,2074.0,2074.75,2063.5,2066.75,6.0,2066.25,783069.0,2945186.0
2014-11-26,2068.25,2075.25,2065.25,2073.75,4.75,2072.25,741582.0,2955905.0
2014-11-25,2067.25,2073.0,2062.75,2068.25,,2067.5,976545.0,2958213.0
2014-11-24,2062.25,2069.0,2060.75,2067.5,5.75,2067.5,782885.0,2957158.0
2014-11-21,2052.25,2072.25,2049.75,2061.75,9.75,2061.75,1630436.0,2959677.0
2014-11-20,2047.0,2052.75,2035.25,2052.25,4.75,2052.0,1125939.0,2933002.0
2014-11-19,2048.75,2050.5,2037.75,2046.5,1.25,2047.25,1188389.0,2934115.0
2014-11-18,2039.25,2054.0,2035.75,2048.5,8.75,2048.5,1140878.0,2924341.0
2014-11-17,2038.5,2040.5,2025.25,2039.25,1.75,2039.75,1058349.0,2924312.0
2014-11-14,2033.0,2039.75,2032.0,2039.25,4.0,2038.0,1045649.0,2937647.0
2014-11-13,2034.75,2043.75,2026.75,2033.25,2.0,2034.0,1541378.0,2922873.0
2014-11-12,2036.5,2037.25,2026.75,2034.5,0.5,2036.0,1082154.0,2868786.0
2014-11-11,2033.75,2039.0,2031.0,2036.5,2.5,2036.5,779077.0,2863436.0
2014-11-10,2025.75,2035.0,2021.0,2034.25,8.0,2034.0,957940.0,2851049.0
2014-11-07,2027.25,2033.5,2020.5,2025.75,2.0,2026.0,1282333.0,2863233.0
2014-11-06,2018.5,2029.25,2010.75,2028.25,9.25,2028.0,1433396.0,2856834.0
2014-11-05,2006.25,2020.5,2003.75,2018.75,13.25,2018.75,1568956.0,2837987.0
2014-11-04,2010.5,2013.75,1995.25,2006.0,5.5,2005.5,1518682.0,2813514.0
2014-11-03,2011.25,2019.25,2007.0,2011.25,0.5,2011.0,1358108.0,2822107.0
2014-10-31,1987.75,2016.75,1986.75,2009.25,23.0,2011.5,1923491.0,2883991.0
2014-10-30,1971.75,1994.25,1959.25,1988.25,16.25,1988.5,1980779.0,2854076.0
2014-10-29,1976.0,1985.75,1962.0,1971.25,7.75,1972.25,1894337.0,2856633.0
2014-10-28,1957.75,1980.75,1956.75,1979.5,23.0,1980.0,1570163.0,2833776.0
2014-10-27,1960.25,1965.75,1944.5,1957.5,2.75,1957.0,1446627.0,2829899.0
2014-10-24,1946.0,1961.25,1931.75,1960.5,13.75,1959.75,1601128.0,2844152.0
2014-10-23,1924.5,1956.25,1922.25,1946.25,21.0,1946.0,2014791.0,2828457.0
2014-10-22,1938.25,1943.75,1920.25,1924.5,13.0,1925.0,2012915.0,2816714.0
2014-10-21,1903.5,1939.75,1885.75,1938.75,38.0,1938.0,2238181.0,2799510.0
2014-10-20,1884.0,1904.5,1872.25,1903.75,19.0,1900.0,1649868.0,2819776.0
2014-10-17,1853.0,1891.75,1851.0,1880.25,30.5,1881.0,2565562.0,2822638.0
2014-10-16,1846.75,1869.75,1815.25,1853.0,3.75,1850.5,3357691.0,2891394.0
2014-10-15,1878.25,1883.25,1813.0,1846.5,28.0,1846.75,4658973.0,2820880.0
2014-10-14,1866.25,1892.75,1864.75,1877.5,9.25,1874.75,3111359.0,2823640.0
2014-10-13,1892.0,1906.0,1863.75,1866.25,28.75,1865.5,2942117.0,2749030.0
2014-10-10,1917.0,1931.25,1893.25,1894.25,30.75,1894.25,3067496.0,2726452.0
2014-10-09,1961.5,1968.5,1915.25,1917.25,36.75,1925.0,3091728.0,2735211.0
2014-10-08,1926.25,1964.0,1918.0,1961.75,33.75,1961.75,2516066.0,2769360.0
2014-10-07,1953.25,1956.25,1924.25,1925.0,28.0,1928.0,2153512.0,2745847.0
2014-10-06,1961.0,1971.0,1950.5,1953.5,4.25,1956.0,1727289.0,2738142.0
2014-10-03,1938.5,1964.5,1935.75,1959.75,21.75,1960.25,1551405.0,2751445.0
2014-10-02,1940.75,1945.75,1918.25,1938.5,2.25,1938.5,2710514.0,2790666.0
2014-10-01,1961.0,1967.0,1933.75,1941.0,24.75,1940.75,2444534.0,2794635.0
2014-09-30,1968.75,1978.25,1960.5,1960.75,4.0,1965.5,1981670.0,2802910.0
