,description,displaySymbol,symbol,source,Group,Asset
1,FXCM Bund,Bund,FXCM:Bund,fxcm,Bonds_indices,
2,Bund,DE10YB/EUR,OANDA:DE10YB_EUR,oanda,Bonds_indices,
3,UK 10Y Gilt,UK10YB/GBP,OANDA:UK10YB_GBP,oanda,Bonds_indices,
4,US 2Y T-Note,USB02Y/USD,OANDA:USB02Y_USD,oanda,Bonds_indices,
5,US 5Y T-Note,USB05Y/USD,OANDA:USB05Y_USD,oanda,Bonds_indices,
6,US 10Y T-Note,USB10Y/USD,OANDA:USB10Y_USD,oanda,Bonds_indices,
7,US T-Bond,USB30Y/USD,OANDA:USB30Y_USD,oanda,Bonds_indices,
8,PEPPERSTONE Cocoa Cash Contract Cocoa,Cocoa/USD,PEPPERSTONE:10023,pepperstone,Commodity,
9,PEPPERSTONE Coffee Cash Contract Coffee,Coffee/USD,PEPPERSTONE:10021,pepperstone,Commodity,
10,Corn,CORN/USD,OANDA:CORN_USD,oanda,Commodity,
11,FXCM CORNF,CORNF,FXCM:CORNF,fxcm,Commodity,
12,PEPPERSTONE Cotton Cash Contract Cotton,Cotton/USD,PEPPERSTONE:10022,pepperstone,Commodity,
13,PEPPERSTONE Orange Juice Cash Contract OrangeJuice,Orange Juice/USD,PEPPERSTONE:10024,pepperstone,Commodity,
14,Soybeans,SOYBN/USD,OANDA:SOYBN_USD,oanda,Commodity,
15,FXCM SOYF,SOYF,FXCM:SOYF,fxcm,Commodity,
16,PEPPERSTONE Sugar Cash Contract Sugar,Sugar/USD,PEPPERSTONE:10020,pepperstone,Commodity,
17,Sugar,SUGAR/USD,OANDA:SUGAR_USD,oanda,Commodity,
18,Wheat,WHEAT/USD,OANDA:WHEAT_USD,oanda,Commodity,
19,FXCM WHEATF,WHEATF,FXCM:WHEATF,fxcm,Commodity,
20,FXCM BCH/USD,BCH/USD,FXCM:BCH/USD,fxcm,Crypto,
21,ICMTRADER Bitcoin cash BCHUSD,BCH/USD,ICMTRADER:110,icmtrader,Crypto,
22,IC MARKETS Bitcoin Cash US Dollar BCHUSD,BCH/USD,IC MARKETS:10028,ic markets,Crypto,
23,PEPPERSTONE Bitcoin vs US Dollar Bitcoin,Bitcoin/USD,PEPPERSTONE:10028,pepperstone,Crypto,
24,FXCM BTC/USD,BTC/USD,FXCM:BTC/USD,fxcm,Crypto,
25,ICMTRADER Bitcoin BTCUSD,BTC/USD,ICMTRADER:108,icmtrader,Crypto,
26,IC MARKETS Bitcoin BTCUSD,BTC/USD,IC MARKETS:10026,ic markets,Crypto,
27,PEPPERSTONE Dash vs US Dollar Dash,Dash/USD,PEPPERSTONE:10031,pepperstone,Crypto,
28,IC MARKETS Dashcoin US Dollar DSHUSD,DSH/USD,IC MARKETS:10027,ic markets,Crypto,
29,FXCM ETH/USD,ETH/USD,FXCM:ETH/USD,fxcm,Crypto,
30,ICMTRADER Etherium ETHUSD,ETH/USD,ICMTRADER:112,icmtrader,Crypto,
31,IC MARKETS Etherimum US Dollar ETHUSD,ETH/USD,IC MARKETS:10029,ic markets,Crypto,
32,PEPPERSTONE Ethereum vs US Dollar Ethereum,Ethereum/USD,PEPPERSTONE:10029,pepperstone,Crypto,
33,PEPPERSTONE Ripple vs US Dollar Ripple,Ripple/USD,PEPPERSTONE:10032,pepperstone,Crypto,
34,FXCM XRP/USD,XRP/USD,FXCM:XRP/USD,fxcm,Crypto,
35,AUD/CAD,AUD/CAD,OANDA:AUD_CAD,oanda,Curr,AUD/CAD
36,FXCM AUD/CAD,AUD/CAD,FXCM:AUD/CAD,fxcm,Curr,AUD/CAD
37,Forex.com AUD/CAD,AUD/CAD,FOREX:401484300,forex.com,Curr,AUD/CAD
38,FXPIG Australian Dollar vs Canadian Dollar AUDCAD.spa,AUD/CAD,FXPIG:18,fxpig,Curr,AUD/CAD
39,PEPPERSTONE Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,PEPPERSTONE:18,pepperstone,Curr,AUD/CAD
40,ICMTRADER Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,ICMTRADER:18,icmtrader,Curr,AUD/CAD
41,IC MARKETS Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,IC MARKETS:18,ic markets,Curr,AUD/CAD
42,OCTAFX Australian Dollar vs Canadian Dollar AUDCAD,AUD/CAD,OCTAFX:18,octafx,Curr,AUD/CAD
43,AUD/CHF,AUD/CHF,OANDA:AUD_CHF,oanda,Curr,AUD/CHF
44,FXCM AUD/CHF,AUD/CHF,FXCM:AUD/CHF,fxcm,Curr,AUD/CHF
45,Forex.com AUD/CHF,AUD/CHF,FOREX:401484301,forex.com,Curr,AUD/CHF
46,PEPPERSTONE Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,PEPPERSTONE:23,pepperstone,Curr,AUD/CHF
47,ICMTRADER Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,ICMTRADER:23,icmtrader,Curr,AUD/CHF
48,IC MARKETS Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,IC MARKETS:23,ic markets,Curr,AUD/CHF
49,OCTAFX Australian Dollar vs Swiss Franc AUDCHF,AUD/CHF,OCTAFX:23,octafx,Curr,AUD/CHF
50,Forex.com AUD/CNH,AUD/CNH,FOREX:401484302,forex.com,Curr,AUD/CNH
51,FXPIG Australian Dollar vs Danish Krone AUDDKK.spa,AUD/DKK,FXPIG:38,fxpig,Curr,AUD/DKK
52,AUD/HKD,AUD/HKD,OANDA:AUD_HKD,oanda,Curr,AUD/HKD
53,AUD/JPY,AUD/JPY,OANDA:AUD_JPY,oanda,Curr,AUD/JPY
54,FXCM AUD/JPY,AUD/JPY,FXCM:AUD/JPY,fxcm,Curr,AUD/JPY
55,Forex.com AUD/JPY,AUD/JPY,FOREX:401484303,forex.com,Curr,AUD/JPY
56,FXPIG Australian Dollar vs Japanese Yen AUDJPY.spa,AUD/JPY,FXPIG:11,fxpig,Curr,AUD/JPY
57,PEPPERSTONE Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,PEPPERSTONE:11,pepperstone,Curr,AUD/JPY
58,ICMTRADER Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,ICMTRADER:11,icmtrader,Curr,AUD/JPY
59,IC MARKETS Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,IC MARKETS:11,ic markets,Curr,AUD/JPY
60,OCTAFX Australian Dollar vs Japanese Yen AUDJPY,AUD/JPY,OCTAFX:11,octafx,Curr,AUD/JPY
61,Forex.com AUD/NOK,AUD/NOK,FOREX:401484304,forex.com,Curr,AUD/NOK
62,AUD/NZD,AUD/NZD,OANDA:AUD_NZD,oanda,Curr,AUD/NZD
63,FXCM AUD/NZD,AUD/NZD,FXCM:AUD/NZD,fxcm,Curr,AUD/NZD
64,Forex.com AUD/NZD,AUD/NZD,FOREX:401484314,forex.com,Curr,AUD/NZD
65,FXPIG Australian vs New Zealand Dollar AUDNZD.spa,AUD/NZD,FXPIG:20,fxpig,Curr,AUD/NZD
66,PEPPERSTONE Australian vs New Zealand Dollar AUDNZD,AUD/NZD,PEPPERSTONE:20,pepperstone,Curr,AUD/NZD
67,ICMTRADER Australian vs New Zealand Dollar AUDNZD,AUD/NZD,ICMTRADER:20,icmtrader,Curr,AUD/NZD
68,IC MARKETS Australian vs New Zealand Dollar AUDNZD,AUD/NZD,IC MARKETS:20,ic markets,Curr,AUD/NZD
69,OCTAFX Australian vs New Zealand Dollar AUDNZD,AUD/NZD,OCTAFX:20,octafx,Curr,AUD/NZD
70,Forex.com AUD/PLN,AUD/PLN,FOREX:401484315,forex.com,Curr,AUD/PLN
71,FXPIG Australian vs Swedish Krona  AUDSEK.spa,AUD/SEK,FXPIG:63,fxpig,Curr,AUD/SEK
72,AUD/SGD,AUD/SGD,OANDA:AUD_SGD,oanda,Curr,AUD/SGD
73,Forex.com AUD/SGD,AUD/SGD,FOREX:401484316,forex.com,Curr,AUD/SGD
