New.ICB.Industry.code;New.ICB.Industry;New.ICB.Supersector.code;New.ICB.Supersector;New.ICB.Sector.code;New.ICB.Sector;New.ICB.Subsector.code;New.ICB.Subsector;Old.ICB.Industry.code;Old.ICB.Industry;Old.ICB.Subsector.code;Old.ICB.Subsector;Old.Russel.Sector.code;Old.Russel.Sector;Old.Russel.Industry.code;Old.Russel.Industry
10;Technology;1010;Technology;101010;Software & Computer Services;10101010;Computer Services;9000;Technology;9533;Computer Services;1;Technology;130439;Computer Services Software & Systems
10;Technology;1010;Technology;101010;Software & Computer Services;10101015;Software;9000;Technology;9537;Software;1;Technology;130439;Computer Services Software & Systems
10;Technology;1010;Technology;101010;Software & Computer Services;10101020;Consumer Digital Services ;9000;Technology;9535;Internet;1;Technology;130439;Computer Services Software & Systems
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;10102010;Semiconductors;9000;Technology;9576;Semiconductors;1;Technology;120476;Semiconductors & Components
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;10102015;Electronic Components;2000;Industrials;2733;Electrical Components & Equipment;1;Technology;120463;Electronic Components
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;;;;;;;1;Technology;120643;Technology: Misc
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;;;;;;;1;Technology;120475;Electronics
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;10102020;Production Technology Equipment;2000;Industrials;2733;Electrical Components & Equipment;1;Technology;120738;Production Technology Equipment
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;10102030;Computer Hardware;9000;Technology;9572;Computer Hardware;1;Technology;130449;Computer Technology
10;Technology;1010;Technology;101020;Technology Hardware & Equipment;10102035;Electronic Office Equipment;9000;Technology;9574;Electronic Office Equipment;8;Producer Durables;820650;Office Supplies Equipment
15;Telecommunications;1510;Telecommunications;151010;Telecommunications Equipment;15101010;Telecommunications Equipment;9000;Technology;9578;Telecommunications Equipment;1;Technology;140849;Telecommunications Equipment
15;Telecommunications;1510;Telecommunications;151010;Telecommunications Equipment;;;;;;;1;Technology;140448;Communications Technology
15;Telecommunications;1510;Telecommunications;151020;Telecommunications Service Providers ;15102010;Cable Television Services;5000;Consumer Services;5553;Broadcasting & Entertainment;3;Consumer Discretionary;350432;Cable Television Services
15;Telecommunications;1510;Telecommunications;151020;Telecommunications Service Providers ;15102015;Telecommunications Services;6000;Telecommunications;6535;Fixed Line Telecommunications;11;Utilities;1110880;Utilities: Telecommunications
15;Telecommunications;1510;Telecommunications;151020;Telecommunications Service Providers ;;;6000;Telecommunications;6575;Mobile Telecommunications;;;;
20;Health Care ;2010;Health Care  ;201010;Health Care Providers;20101010;Health Care Facilities;4000;Health Care;4533;Health Care Providers;2;Health Care;210504;Health Care Facilities
20;Health Care ;2010;Health Care  ;201010;Health Care Providers;20101020;Health Care Management Services;4000;Health Care;4533;Health Care Providers;2;Health Care;210503;Health Care Management Services
20;Health Care ;2010;Health Care  ;201010;Health Care Providers;20101025;Health Care Services;4000;Health Care;4533;Health Care Providers;2;Health Care;210499;Health Care Services
20;Health Care ;2010;Health Care  ;201010;Health Care Providers;20101030;Health Care: Misc.;4000;Health Care;4533;Health Care Providers;2;Health Care;210639;Health Care: Misc
20;Health Care ;2010;Health Care  ;201020;Medical Equipment & Services;20102010;Medical Equipment;4000;Health Care;4535;Medical Equipment;2;Health Care;220471;Medical Equipment
