"Symbol";"Name";"Interesting";"Description";"Assets";"ETF_Currency";"Industry";"Region";"Region_Currency";"Capitalisation";"Weighting";"Type";"P/E";"Dividends";"Long-Short";"Leverage";"ER";"Liquidity";"FX_risk";"Short_Name";"Bloomberg_Ticker";"ISIN";"Indexname";"Bloomberg_Index";"Reuters_Index"
"AADR";"WCM/BNY Mellon Focused Growth ADR ETF";"No";"large-cap growth portfolio for the non-U.S. universe. The portfolio is purposely very different from international benchmarks and other international funds. AADR achieves this differentiation by concentration (20–30 holdings) and a focus on traditional growth sectors such as technology, healthcare and consumer staples/discretionary. Developed Europe 55%";"Equity";"USD";"Diversified";"Broad excl US";"Mixed";"Large";"check";"No";"High P/E";"No";"Long";"No";"B-";"C";"Yes";"Focused Growth ADR";"Check";"Check";"Check";"Check";"Check"
"AAXJ";"MSCI All Country Asia ex Jpn Idx";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia excl. Japan";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"A-";"Yes";"All Country Asia ex Jpn";"Check";"Check";"Check";"Check";"Check"
"ACIM";"SPDR MSCI ACWI IMI";"No";"The index is a free float-adjusted market capitalization-weighted index that is designed to measure the combined equity market performance of developed and emerging markets. The index covers approximately 98% of the global equity investment opportunity set";"Equity";"USD";"Diversified";"Broad";"Mixed";"Mixed";"Free-float-adjusted cap";"No";"No";"No";"Long";"No";"A";"C";"Yes";"ACWI IMI";"Check";"Check";"Check";"Check";"Check"
"ACWI";"MSCI ACWI Index";"No";"global equity markets";"Equity";"USD";"Diversified";"Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A+";"Yes";"ACWI";"Check";"Check";"Check";"Check";"Check"
"ACWV";"MSCI All Country World Minimum Volatility Index Fund ";"No";"The index aims to re?ect the performance characteristics of a minimum variance strategy applied to large and mid cap equities across 45 Developed and Emerging Markets countries . The index is calculated by optimizing the MSCI ACWI Index, its parent index, for the lowest absolute risk (within a given set of constraints). Historically, the index has shown lower beta and volatility characteristics relative to the MSCI ACWI Index";"Equity";"USD";"Diversified";"Broad";"Mixed";"Large";"check";"Low Volatility";"No";"No";"Long";"No";"A";"B+";"Yes";"All Country World Minimum Volatility ";"Check";"Check";"Check";"Check";"Check"
"ACWX";"MSCI ACWI ex US Index";"No";"Ok";"Equity";"USD";"Diversified";"Broad excl US";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"A";"Yes";"ACWI ex US";"Check";"Check";"Check";"Check";"Check"
"ADRA";"BLDRS Asia 50 ADR Index";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A";"C+";"Yes";"Asia 50 ADR";"Check";"Check";"Check";"Check";"Check"
"ADRD";"BLDRS Developed Markets 100 ADR Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A-";"C";"Yes";"Developed Markets 100 ADR";"Check";"Check";"Check";"Check";"Check"
"ADRE";"BLDRS Emerging Markets 50 ADR Index";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A";"B";"Yes";"Emerging Markets 50 ADR";"Check";"Check";"Check";"Check";"Check"
"ADRU";"BLDRS Europe 100 ADR Index";"No";"Ok";"Equity";"USD";"Diversified";"Developed Europe";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"A-";"C";"Yes";"Europe 100 ADR";"Check";"Check";"Check";"Check";"Check"
"AFK";"Market Vectors Africa Index ETF";"No";"This ETF offers exposure to publicly traded companies that are headquartered in Africa or that generate the majority of their revenues within the continent. This ETF tracks the Dow Jones Africa Titans 50 Index. This ETF is relatively well balanced, including much more than just South Africa; Nigeria, Egypt, and Morocco are some of the other allocations made in this portfolio. Investors who wish to achieve country-specific exposure should consider the MSCI South Africa Index Fund (EZA).";"Equity";"USD";"Diversified";"Emerging MENA";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"B";"Yes";"Africa";"Check";"Check";"Check";"Check";"Check"
"AGF";"PowerShares DB Agriculture Long ETN";"No";"Ok";"Commodities";"USD";"Agriculture";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B-";"B-";"Yes";"Agriculture Long";"Check";"Check";"Check";"Check";"Check"
