,description,displaySymbol,symbol,source,Exch_name
0,Argos Resources Ltd,00G.SG,00G.SG,SG,BOERSE STUTTGART
1,GUANGZHOU AUTO -H- (02G.SG),02G.SG,02G.SG,SG,BOERSE STUTTGART
2,MOSAIC (02M.SG),02M.SG,02M.SG,SG,BOERSE STUTTGART
3,CHINA XD PLSTCS (02Y.SG),02Y.SG,02Y.SG,SG,BOERSE STUTTGART
4,Thessaloniki Port Authority Societe Anonyme,03P.SG,03P.SG,SG,BOERSE STUTTGART
5,CHINA JO-JO DRGSTRS (04CN.SG),04CN.SG,04CN.SG,SG,BOERSE STUTTGART
6,"Blackstone Mortgage Trust, Inc",079A.SG,079A.SG,SG,BOERSE STUTTGART
7,KRAKATAU STEEL -B- (07K.SG),07K.SG,07K.SG,SG,BOERSE STUTTGART
8,CN MODERN DAIRY (07M.SG),07M.SG,07M.SG,SG,BOERSE STUTTGART
9,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd",08HH.SG,08HH.SG,SG,BOERSE STUTTGART
10,TOURMALINE OIL (08T.SG),08T.SG,08T.SG,SG,BOERSE STUTTGART
11,Appeninn Vagyonkezelo Holding Nyrt,0AP.SG,0AP.SG,SG,BOERSE STUTTGART
12,Basler Kantonalbank,0B8.SG,0B8.SG,SG,BOERSE STUTTGART
13,BRIDGEPOINT ED (0BD.SG),0BD.SG,0BD.SG,SG,BOERSE STUTTGART
14,CHAROEN POKPHAND (0CP1.SG),0CP1.SG,0CP1.SG,SG,BOERSE STUTTGART
15,CHINA ZHONGWANG (0CZ.SG),0CZ.SG,0CZ.SG,SG,BOERSE STUTTGART
16,DARMA HENWA (0DH.SG),0DH.SG,0DH.SG,SG,BOERSE STUTTGART
17,FUTURE BRIGHT HLDG (0FB.SG),0FB.SG,0FB.SG,SG,BOERSE STUTTGART
18,JASA MARGA -B- (0JM.SG),0JM.SG,0JM.SG,SG,BOERSE STUTTGART
19,KERNEL HLDG (0KE.SG),0KE.SG,0KE.SG,SG,BOERSE STUTTGART
20,Kopy Goldfields AB (publ),0KR.SG,0KR.SG,SG,BOERSE STUTTGART
21,NORTHN GRAPHITE (0NG.SG),0NG.SG,0NG.SG,SG,BOERSE STUTTGART
22,OCADO GROUP (0OC.SG),0OC.SG,0OC.SG,SG,BOERSE STUTTGART
23,MODERNA,0QF.SG,0QF.SG,SG,BOERSE STUTTGART
24,SIBANYE GOLD  (0SG.SG),0SG.SG,0SG.SG,SG,BOERSE STUTTGART
25,C V D EQUIPMENT (0V3.SG),0V3.SG,0V3.SG,SG,BOERSE STUTTGART
26,VIVINT SOLAR (0VS.SG),0VS.SG,0VS.SG,SG,BOERSE STUTTGART
27,NEW ZEALAND EGY (0ZE.SG),0ZE.SG,0ZE.SG,SG,BOERSE STUTTGART
28,I.M.A. (12M.SG),12M.SG,12M.SG,SG,BOERSE STUTTGART
29,BPOST (13B.SG),13B.SG,13B.SG,SG,BOERSE STUTTGART
30,ATAC RESOURCES (14A.SG),14A.SG,14A.SG,SG,BOERSE STUTTGART
31,COLORADO RES (16C.SG),16C.SG,16C.SG,SG,BOERSE STUTTGART
32,CN YONGDA AUTOMOBIL (1CY.SG),1CY.SG,1CY.SG,SG,BOERSE STUTTGART
33,E4U a.s,1E4.SG,1E4.SG,SG,BOERSE STUTTGART
34,ETHOS GOLD (1ET.SG),1ET.SG,1ET.SG,SG,BOERSE STUTTGART
35,FORUM ENERGY TECH (1FE.SG),1FE.SG,1FE.SG,SG,BOERSE STUTTGART
36,Groupe Fnac Société Anonyme (1F,1FN.SG,1FN.SG,SG,BOERSE STUTTGART
37,Gallant Venture Ltd,1GV.SG,1GV.SG,SG,BOERSE STUTTGART
38,HYATT HOTELS-A (1HTA.SG),1HTA.SG,1HTA.SG,SG,BOERSE STUTTGART
39,INTL TOWER HILL (1I1.SG),1I1.SG,1I1.SG,SG,BOERSE STUTTGART
40,JAPFA COMFEED -A- (1JC1.SG),1JC1.SG,1JC1.SG,SG,BOERSE STUTTGART
41,JUST EGY GROUP (1JE.SG),1JE.SG,1JE.SG,SG,BOERSE STUTTGART
42,LIBERTY GLOBAL -A- (1LG.SG),1LG.SG,1LG.SG,SG,BOERSE STUTTGART
43,PT Malindo Feedmill Tbk,1MF.SG,1MF.SG,SG,BOERSE STUTTGART
44,MATAS (1MTA.SG),1MTA.SG,1MTA.SG,SG,BOERSE STUTTGART
45,NORTHLAND PWR (1NR.SG),1NR.SG,1NR.SG,SG,BOERSE STUTTGART
46,REALPAGE (1R1.SG),1R1.SG,1R1.SG,SG,BOERSE STUTTGART
47,SAMS. INTERNAT. R (1SO.SG),1SO.SG,1SO.SG,SG,BOERSE STUTTGART
48,Swissquote Group Holding Ltd,1SQ.SG,1SQ.SG,SG,BOERSE STUTTGART
49,TAURON (1T5.SG),1T5.SG,1T5.SG,SG,BOERSE STUTTGART
50,TEE International Limited,1TE.SG,1TE.SG,SG,BOERSE STUTTGART
51,VIPSHOP HLDG SP ADR (1VPA.SG),1VPA.SG,1VPA.SG,SG,BOERSE STUTTGART
52,AXWAY SOFTWARE,1XV.SG,1XV.SG,SG,BOERSE STUTTGART
53,ZEALAND PHARMA (22Z.SG),22Z.SG,22Z.SG,SG,BOERSE STUTTGART
54,Strategic Minerals Plc,24S.SG,24S.SG,SG,BOERSE STUTTGART
55,CHINA HGS REAL EST (29R.SG),29R.SG,29R.SG,SG,BOERSE STUTTGART
56,AGUNG PODOMORO (2AG.SG),2AG.SG,2AG.SG,SG,BOERSE STUTTGART
57,HCA HLDGS (2BH.SG),2BH.SG,2BH.SG,SG,BOERSE STUTTGART
58,BUMITAMA AGRI (2BU.SG),2BU.SG,2BU.SG,SG,BOERSE STUTTGART
59,DUNKIN' BRANDS GRP (2DB.SG),2DB.SG,2DB.SG,SG,BOERSE STUTTGART
60,EVERTEC INC,2EV.SG,2EV.SG,SG,BOERSE STUTTGART
61,Galileo Resources Plc,2GA.SG,2GA.SG,SG,BOERSE STUTTGART
62,Hummingbird Resources PLC,2HM.SG,2HM.SG,SG,BOERSE STUTTGART
63,IRC (2I8.SG),2I8.SG,2I8.SG,SG,BOERSE STUTTGART
64,PT Salim Ivomas Pratama Tbk,2IR.SG,2IR.SG,SG,BOERSE STUTTGART
65,INGERSOLL-RAND (2IS.SG),2IS.SG,2IS.SG,SG,BOERSE STUTTGART
66,INDIVIOR PLC REG SHA,2IV.SG,2IV.SG,SG,BOERSE STUTTGART
67,ANOVA METALS (2KI.SG),2KI.SG,2KI.SG,SG,BOERSE STUTTGART
68,SOLARWINDOW TECHN (2N0N.SG),2N0N.SG,2N0N.SG,SG,BOERSE STUTTGART
69,Ormester Vagyonvedelmi Nyrt,2OM.SG,2OM.SG,SG,BOERSE STUTTGART
70,PETROSEA (2P0N.SG),2P0N.SG,2P0N.SG,SG,BOERSE STUTTGART
71,BK JABAR BANTEN -B- (2PE.SG),2PE.SG,2PE.SG,SG,BOERSE STUTTGART
72,Rare Earth Minerals plc (2RE.SG,2RE.SG,2RE.SG,SG,BOERSE STUTTGART
73,PT Trada Alam Minera Tbk,2TM.SG,2TM.SG,SG,BOERSE STUTTGART
74,Tianjin Zhong Xin Pharmaceutical Group Corporation Limited,2TZ.SG,2TZ.SG,SG,BOERSE STUTTGART
75,2U INC,2U1.SG,2U1.SG,SG,BOERSE STUTTGART
76,VERASTEM (2VS.SG),2VS.SG,2VS.SG,SG,BOERSE STUTTGART
77,WEIBO CORP,2WBA.SG,2WBA.SG,SG,BOERSE STUTTGART
78,XIWANG SPECIAL STEE (2XI.SG),2XI.SG,2XI.SG,SG,BOERSE STUTTGART
79,MYER HOLDINGS (30M.SG),30M.SG,30M.SG,SG,BOERSE STUTTGART
80,DAETWYLER HLDG (31D1.SG),31D1.SG,31D1.SG,SG,BOERSE STUTTGART
81,VINDA INTL HLDGS (31V.SG),31V.SG,31V.SG,SG,BOERSE STUTTGART
82,WESTERN COPPER (31WN.SG),31WN.SG,31WN.SG,SG,BOERSE STUTTGART
83,KATANGA MINING (31Z.SG),31Z.SG,31Z.SG,SG,BOERSE STUTTGART
84,AEGEAN AIRLINES (32A.SG),32A.SG,32A.SG,SG,BOERSE STUTTGART
85,BIALETTI INDUSTRIE (32B.SG),32B.SG,32B.SG,SG,BOERSE STUTTGART
86,NEW GOLD (32N.SG),32N.SG,32N.SG,SG,BOERSE STUTTGART
87,SPITFIRE OIL (32S.SG),32S.SG,32S.SG,SG,BOERSE STUTTGART
88,BADGER METER (33B.SG),33B.SG,33B.SG,SG,BOERSE STUTTGART
89,LULULEMON ATHL (33L.SG),33L.SG,33L.SG,SG,BOERSE STUTTGART
90,ALBIOMA (33S.SG),33S.SG,33S.SG,SG,BOERSE STUTTGART
91,XINJIANG XINXIN -H- (33X1.SG),33X1.SG,33X1.SG,SG,BOERSE STUTTGART
92,DIASORIN (34D.SG),34D.SG,34D.SG,SG,BOERSE STUTTGART
93,SERENGETI RESOURCES (34S.SG),34S.SG,34S.SG,SG,BOERSE STUTTGART
94,ULTA SALON C&F (34U.SG),34U.SG,34U.SG,SG,BOERSE STUTTGART
95,SHANTA GOLD (35S.SG),35S.SG,35S.SG,SG,BOERSE STUTTGART
96,NEW MILLENNIUM IRON (36N.SG),36N.SG,36N.SG,SG,BOERSE STUTTGART
97,B&C SPEAKERS (37B.SG),37B.SG,37B.SG,SG,BOERSE STUTTGART
98,BIRCHCLIFF ENERGY (39B.SG),39B.SG,39B.SG,SG,BOERSE STUTTGART
