Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
AarhusKarlshamn;Sverige;Large Cap;Dagligvaror;Livsmedel;AAK
ABB;Sverige;Large Cap;Industri;Industrimaskiner;ABB
Acando;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ACAN B
Active Biotech;Sverige;Small Cap;Hälsovård;Biotech;ACTI
Addnode;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ANOD B
Addtech;Sverige;Large Cap;Industri;Industrikomponenter;ADDT B
Alfa Laval;Sverige;Large Cap;Industri;Industrikomponenter;ALFA
A3 Allmänna IT- och Telekom;Sverige;Small Cap;Telekommunikation;Bredband & Telefoni;ATRE
Anoto;Sverige;Small Cap;Informationsteknik;Elektronisk Utrustning;ANOT
Arise Windpower;Sverige;Small Cap;Kraftförsörjning;Vindkraft;ARISE
Assa Abloy;Sverige;Large Cap;Industri;Byggmaterial;ASSA B
AstraZeneca;Sverige;Large Cap;Hälsovård;Läkemedel;AZN
Atlas Copco A;Sverige;Large Cap;Industri;Industrimaskiner;ATCO A
Atrium Ljungberg;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;ATRLJ B
Autoliv;Sverige;Large Cap;Sällanköpsvaror;Bil & Motor;ALIV SDB
Avanza;Sverige;Large Cap;Finans & Fastighet;Nischbanker;AZA
Axfood;Sverige;Large Cap;Dagligvaror;Livsmedelsbutiker;AXFO
Bergman & Beving;Sverige;Mid Cap;Industri;Industrikomponenter;BERG B
BE Group;Sverige;Small Cap;Industri;Industrikomponenter;BEGR
Beijer Ref;Sverige;Large Cap;Industri;Installation & VVS;BEIJ B
Beijer Alma;Sverige;Mid Cap;Industri;Industrikomponenter;BEIA B
Beijer Electronics;Sverige;Small Cap;Informationsteknik;Datorer & Hårdvara;BELE
Bergs Timber;Sverige;Small Cap;Material;Skogsbolag;BRG B
Betsson;Sverige;Large Cap;Sällanköpsvaror;Betting & Casino;BETS B
Bilia;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;BILI A
BillerudKorsnäs;Sverige;Large Cap;Material;Skogsbolag;BILL
BioGaia;Sverige;Mid Cap;Dagligvaror;Hälsoprodukter;BIOG B
Bioinvent;Sverige;Small Cap;Hälsovård;Biotech;BINV
Biotage;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;BIOT
Björn Borg;Sverige;Small Cap;Sällanköpsvaror;Kläder & Skor;BORG
Boliden;Sverige;Large Cap;Material;Gruv - Industrimetaller;BOL
Bong Ljungdahl;Sverige;Small Cap;Material;Förpackning;BONG
Brinova;Sverige;Small Cap;Finans & Fastighet;Fastighetsbolag;BRIN B
BTS Group;Sverige;Mid Cap;Industri;Affärskonsulter;BTS B
Bure Equity;Sverige;Mid Cap;Finans & Fastighet;Investmentbolag;BURE
Byggmax;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;BMAX
Castellum;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;CAST
Catena;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CATE
Qliro Group;Sverige;Mid Cap;Informationsteknik;Betalning & E-handel;QLRO
CellaVision;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;CEVI
Clas Ohlson;Sverige;Mid Cap;Sällanköpsvaror;Detaljhandel;CLAS B
Cloetta;Sverige;Mid Cap;Dagligvaror;Livsmedel;CLA B
Concordia Maritime;Sverige;Small Cap;Energi;Olja & Gas - Transport;CCOR B
Consilium;Sverige;Small Cap;Informationsteknik;Säkerhet & Bevakning;CONS B
Corem A;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CORE A
CTT Systems;Sverige;Small Cap;Industri;Installation & VVS;CTT
Diamyd Medical;Sverige;First North;Hälsovård;Biotech;DMYD B
Diös;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;DIOS
Doro;Sverige;Small Cap;Sällanköpsvaror;Hemelektronik;DORO
Duni;Sverige;Mid Cap;Dagligvaror;Hygienprodukter;DUNI
Duroc;Sverige;Small Cap;Industri;Industrikomponenter;DURC B
Eastnine;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;EAST
Elanders;Sverige;Mid Cap;Sällanköpsvaror;Media & Publicering;ELAN B
Electra Gruppen;Sverige;Small Cap;Sällanköpsvaror;Hemelektronik;ELEC
Electrolux B;Sverige;Large Cap;Sällanköpsvaror;Hemelektronik;ELUX B
Elekta;Sverige;Large Cap;Hälsovård;Medicinsk Utrustning;EKTA B
Elos;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;ELOS B
Enea;Sverige;Mid Cap;Informationsteknik;IT-Konsulter;ENEA
Eniro;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;ENRO
EnQuest;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;ENQ
Ericsson B;Sverige;Large Cap;Informationsteknik;Kommunikation;ERIC B
