,company_name,country,list,sector,industry,ticker,market_id,stock_id,search
0,AarhusKarlshamn,Sverige,Large Cap,Dagligvaror,Livsmedel,AAK,11,36273,AAK AB
1,ABB,Sverige,Large Cap,Industri,Industrimaskiner,ABB,11,3966,ABB Ltd
2,Acando,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,ACAN B,11,981,Acando AB ser. B
3,Active Biotech,Sverige,Small Cap,Hälsovård,Biotech,ACTI,11,877,Active Biotech AB
4,Addnode,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,11,3887,Addnode Group AB ser. B
5,Addtech,Sverige,Large Cap,Industri,Industrikomponenter,ADDT B,11,14336,Addtech AB ser. B
6,Alfa Laval,Sverige,Large Cap,Industri,Industrikomponenter,ALFA,11,18634,Alfa Laval AB
7,A3 Allmänna IT- och Telekom,Sverige,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,11,66668,A3 Allmänna IT- och Telekom. AB
8,Anoto,Sverige,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,11,5110,Anoto Group AB
9,Arise Windpower,Sverige,Small Cap,Kraftförsörjning,Vindkraft,ARISE,11,74570,Arise AB
10,Assa Abloy,Sverige,Large Cap,Industri,Byggmaterial,ASSA B,11,402,ASSA ABLOY AB ser. B
11,AstraZeneca,Sverige,Large Cap,Hälsovård,Läkemedel,AZN,11,3524,AstraZeneca PLC
12,Atlas Copco A,Sverige,Large Cap,Industri,Industrimaskiner,ATCO A,11,45,Atlas Copco AB ser. A
13,Atrium Ljungberg,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,11,1011,Atrium Ljungberg AB ser. B
14,Autoliv,Sverige,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,11,47,Autoliv Inc. SDB
15,Avanza,Sverige,Large Cap,Finans & Fastighet,Nischbanker,AZA,11,988,Avanza Bank Holding AB
16,Axfood,Sverige,Large Cap,Dagligvaror,Livsmedelsbutiker,AXFO,11,4590,Axfood AB
17,Bergman & Beving,Sverige,Mid Cap,Industri,Industrikomponenter,BERG B,11,793,Bergman & Beving Aktiebolag ser. B
18,BE Group,Sverige,Small Cap,Industri,Industrikomponenter,BEGR,11,37309,BE Group AB
19,Beijer Ref,Sverige,Large Cap,Industri,Installation & VVS,BEIJ B,11,792,Beijer Ref AB ser. B
20,Beijer Alma,Sverige,Mid Cap,Industri,Industrikomponenter,BEIA B,11,875,Beijer Alma AB ser. B
