,company_name,ticker,market_id,stock_id
0,A1M Pharma AB,A1M,11,93181
1,AAK AB,AAK,11,36273
2,Arc Aroma Pure AB,AAP-B,11,93180
3,ABB Ltd,ABB,11,3966
4,Absolent Group AB,ABSO,11,103171
5,Acando AB ser. B,ACAN-B,11,981
6,AdCityMedia AB,ACM,11,116111
7,Actic Group AB,ACTI,11,135947
8,Addtech AB ser. B,ADDT-B,11,14336
9,ADDvise Group AB A,ADDV-A,11,1449
10,ADDvise Group AB B,ADDV-B,11,113184
11,Advenica AB,ADVE,11,102777
12,AF Gruppen,AF-B,15,27028
13,Ages Industri AB ser. B,AGES-B,11,100816
14,A Group of Retail Assets AB ser. B,AGORA-B,11,110529
15,A Group Of Retail Assets AB Pref,AGORA-PREF,11,110782
16,Byggmästare Anders J Ahlström Holding AB,AJA-B,11,105147
17,Akelius Residential AB Pref,AKEL-PREF,11,101200
18,Alfa Laval AB,ALFA,11,18634
19,AddLife AB ser. B,ALIF-B,11,120190
20,Alimak Group AB,ALIG,11,110204
21,Autoliv Inc. SDB,ALIV-SDB,11,47
22,ALLGON AB ser. B,ALLG-B,11,28738
23,Beijer Alma AB ser. B,ALM,11,875
24,Amasten Fastighets AB Pref,AMAST-PREF,11,101778
25,Amasten Fastighets AB,AMAST,11,53228
26,Addnode Group AB ser. B,ANOD-B,11,3887
27,Anoto Group AB,ANOT,11,5110
28,Africa Oil Corp.,AOI,11,77948
29,AQ Group AB,AQ,11,13236
30,Arcoma AB,ARCOMA,11,103617
31,Arctic Paper S.A.,ARCT,11,91264
32,Arise AB,ARISE,11,74570
33,AroCell AB (publ),AROC,11,82338
34,Arctic Paper S.A.,ARP,11,91264
35,ASCO LIQUIDATING C,ASCO,21,ASCL
36,ASSA ABLOY AB ser. B,ASSA-B,11,402
37,Atlas Copco AB ser. A,ATCO-A,11,45
38,Atlas Copco AB ser. B,ATCO-B,11,46
39,Atlantic Petroleum,ATLA-NOKO,15,1300746
40,Atrium Ljungberg AB ser. B,ATRLJ-B,11,1011
41,Attendo AB,ATT,11,115956
42,Auriant Mining AB,AUR,11,76848
43,Avensia AB,AVEN,11,5101
44,Avtech Sweden AB B,AVT-B,11,86868
45,Axfood AB,AXFO,11,4590
46,aXichem AB,AXIC-A,11,80256
47,Axis AB,AXIS,11,5150
48,Avanza Bank Holding AB,AZA,11,988
49,AstraZeneca PLC,AZN,11,3524
50,Bactiguard Holding AB,BACTI-B,11,101601
51,Fastighets AB Balder ser. B,BALD-B,11,4212
52,Bayn Europe AB,BAYN,11,103618
53,BE Group AB,BEGR,11,37309
54,Beijer Alma AB ser. B,BEIA-B,11,875
55,Beijer Ref AB ser. B,BEIJ-B,11,792
56,Beijer Electronics Group AB,BELE,11,5081
57,Besqab AB,BESQ,11,101207
58,Betsson AB ser. B,BETS-B,11,5121
59,Bilia AB ser. A,BILI-A,11,794
60,BillerudKorsnäs AB,BILL,11,14922
61,BIMobject AB,BIM,11,99204
62,BioInvent International AB,BINV,11,13348
63,BioGaia AB ser. B,BIOG-B,11,959
64,Biotage AB,BIOT,11,5209
65,Byggmax Group AB,BMAX,11,75712
66,Boliden AB,BOL,11,15285
67,Bonäsudden Holding AB,BONAS,11,110781
68,Bong AB,BONG,11,892
69,Björn Borg AB,BORG,11,40286
70,Botnia Exploration Holding AB,BOTX,11,147133
71,Boule Diagnostics AB,BOUL,11,82889
72,Bravida Holding AB,BRAV,11,113960
