,symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,Index
0,COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,0000711404,1958,SP500
1,CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,1982,SP500
2,GLW,Corning,Information Technology,Electronic Components,"Corning, New York",,0000024741,1851,SP500
3,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,0001755672,2019,SP500
4,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832,1976,SP500
5,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470,2021,SP500
6,CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470,1994,SP500
7,CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948,1980,SP500
8,CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172,1919,SP500
9,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0000064803,1996,SP500
10,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,0000882184,1978,SP500
11,DHR,Danaher,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616,1969,SP500
12,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944,1938,SP500
13,DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,1979,SP500
14,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0000315189,1837,SP500
15,DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904,1929,SP500
16,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,0000818479,2016,SP500
17,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,1971,SP500
18,DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,0001093557,1999,SP500
