Destination;Regio
Bangkok;Asia
Bangkok Don Mueang;Asia
Hongkong;Asia
Kuala Lumpur;Asia
Luzon Clark;Asia
Manila;Asia
Phuket;Asia
Seoul;Asia
Seoul Incheon;Asia
Shanghai Pudong;Asia
Taipei;Asia
Taipei Songshan;Asia
Taschkent;Asia
Tokio Haneda;Asia
Tokio Narita;Asia
Calgary;Canada
Montreal Pierre Elliott Trudeau;Canada
Toronto;Canada
Vancouver;Canada
Athen;Europe
Barcelona;Europe
Bari;Europe
Biarritz;Europe
Edinburgh;Europe
Eriwan;Europe
Faro;Europe
Fes;Europe
Florenz;Europe
Funchal;Europe
Girona;Europe
Kiew;Europe
Korfu;Europe
Kutaisi;Europe
Lamezia Terme;Europe
Lissabon;Europe
Madrid;Europe
Mailand Malpensa;Europe
Mallorca;Europe
Malta;Europe
Marseille;Europe
Olbia;Europe
Palermo;Europe
Pisa;Europe
Ponta Delgada;Europe
Porto;Europe
Reykjavik Keflavik;Europe
Rijeka;Europe
Stockholm Skavsta;Europe
Teneriffa Süd;Europe
Tivat;Europe
Venedig;Europe
Zadar;Europe
Fort de France;Karibik
Grenada;Karibik
Quito;Karibik
Recife;Karibik
Rio de Janeiro Santos Dumont;Karibik
Adana;MENA
Ankara;MENA
Antalya;MENA
Dalaman;MENA
Doha;MENA
Ercan;MENA
Istanbul;MENA
Istanbul Sabiha Gökcen;MENA
Izmir;MENA
Jeddah;MENA
Luxor;MENA
Marrakesch;MENA
Muscat;MENA
Atlanta;USA
Austin;USA
Charleston SC;USA
Cincinnati;USA
Dallas;USA
Denver;USA
Fort Myers;USA
Houston;USA
Jacksonville Florida;USA
Las Vegas;USA
Los Angeles;USA
Miami International;USA
Minneapolis;USA
New York;USA
New York La Guardia;USA
Orlando;USA
Pensacola;USA
Philadelphia;USA
Phoenix;USA
Portland Oregon;USA
San Antonio;USA
San Diego;USA
San Jose;USA
Seattle;USA
Tampa;USA
Washington DC;USA
Washington DC National;USA
Thessaloniki;Europe
Charlotte;USA
Hanoi;Asia
Turin;Europe
Triest;Europe
Split;Europe
Djerba;MENA
Banjul;MENA
Kapstadt;MENA
Liberia Costa Rica;Karibik
